,Average SHAP when zero,Average SHAP when one,ma_shap
aldehyde groups,0.03896829847097949,-1.3526597110013996,0.08834633510748337
alicyclic ether groups,0.03612440113945587,-1.4983560502887425,0.08797318000027245
bonds connect two ring structures,-0.029081893374546326,0.0,0.08131371959664865
five-membered rings,0.040644889717402585,-0.353467659350268,0.080228127028201
nitrogen-nitrogen bonds,-0.03368979209954365,3.290701070476242,0.0778019125823125
secondary amide groups,-0.02633933127441674,4.7952097083677305,0.06569462964889237
nitroxyl groups,0.02222464692610568,-1.213932319878647,0.057484116019349545
tertiary amide groups,0.022082998138863556,-3.376670314685866,0.05518577340622258
hydroxyl side chains in an alkyl group,-0.013488590127517542,0.8365226836757138,0.05392099483662073
nitrogen atoms connected by non-aromatic bonds to two atoms,-0.014323472749856988,0.0,0.04997955247841232
"methylene bridges connected to two atoms, one which is also bonded to a nitrogen atom",0.004094995103365301,0.015170747453755691,0.048985734131739136
primary amines,0.015836842956452164,-0.5093577078004863,0.04436650585671085
nitrogen and oxygen atom pairs separated by exactly three atoms,-0.014502717235058056,0.7265795497120988,0.04390825798788051
pairs nitrogens that 3 atoms apart,0.016149924917076227,-0.6751007170177261,0.043765635165289085
sulfur-containing heterocycles,-0.014230605823663318,1.2970826992272817,0.041938083439594584
sets 2 triple-bonded carbons,0.009867196912024529,-1.8835102295108985,0.04184693629497716
pairs nitrogen and oxygen atoms separated by one atom,0.01470340245551656,-0.8171735423495933,0.040726513803348754
aromatic amines,0.008394399303971236,-0.775455679513975,0.039404094862273926
heteroatoms located five atoms away from a ring,-0.010190124051139305,0.2557508763264685,0.03773209049086188
sulfur atoms bonded to three atoms,0.015731411493599707,-3.705194223681028,0.0369506943626375
"non-carbon, non-hydrogen atoms bonded to sulfur atoms",0.014103225772975365,-1.2290681218204185,0.036072456934697524
carbons bonded to both sulfur and oxygen in the same bond path,-0.017205382947954775,0.0,0.03568090271794141
"heteroatoms, each bonded to hydrogen, connected by a two-atom chain",-0.012486787666610438,1.4281444650746404,0.03559359598780778
nitrogen atoms in a ring bonded to atoms outside the ring,0.009051794175250389,0.0,0.03555831517896752
pairs nitrogens that 2 atoms apart,-0.0017832986421874438,0.215229915815893,0.03402143900510333
dioxyamine groups,0.01017007165448849,-0.5878273740754352,0.031298609874734006
"carbons involved in double bonds, where one carbon is bonded to two other atoms (including another carbon)",0.003346508518220758,-0.0005228132883948729,0.030835128997766578
isobutylene groups,0.010014948891579667,-0.1843823900344538,0.030603516673313395
"atoms bonded by three bonds, with one bond being connected to a sulfur atom",0.011232765438845537,-0.1690235104542382,0.02945359172413718
seven-membered rings,-0.004576000653246725,1.438058286980225,0.028074463621086784
nitro groups,0.004763612410917068,-0.5758988305932425,0.027983350992874835
four-membered rings,0.0006914958816208447,-0.31218964816110534,0.023693525764572575
sulfur atoms double-bonded to any atom,-0.007157657731530561,1.3660551168359911,0.023431031322395764
carbon atoms bonded to a ring atom,-0.009790519357330782,0.0,0.022993230836721282
primary amide groups,-0.007598773218992749,8.322169025758532,0.0225749862144072
"carbons bonded to another carbon, a nitrogen, and an oxygen atom in the structure",-0.0022052737205333676,0.3344236847431843,0.02226296230432934
nitrogens double-bonded to a carbon,0.005296973445327499,-1.7551656348827702,0.021423556067884115
bonds where sulfur is connected to nitrogen via two bonds,-0.005863763436091825,2.194470079234312,0.02057389953523324
phosphor atoms,0.005010743339807847,-0.08174897671798877,0.02002661551278365
methanetriamine groups,-0.00020489902592801506,0.7516030694487763,0.019082270994948615
peroxide groups,0.007361962126639606,-6.357259955269214,0.018777567929988997
diaminoethyl groups,0.00048750107257608457,0.27283224118957294,0.018567332279268624
"bonds between heteroatoms, where one them is bonded to hydrogen",-0.0029166247451941412,0.520729897141929,0.01756249272758175
Does the molecule contain no sulfur atoms,0.004136022429178752,0.0,0.016963799873267085
three-membered rings,-0.0014429851263376011,-0.01716340475554776,0.016298206443134143
heteroatoms bonded to a halogen,-0.0010602836594501175,0.19678152526875725,0.014703109959973072
methanetriols,-0.004232254166746047,1.4951704884761499,0.014662035352971881
non-aromatic rings with C=C-C=O,-0.004219458901718849,3.0861986945519235,0.01465523987230032
aliphatic carbons bonded to two heteroatoms,0.001467504209206197,-0.23687433142898445,0.014466644180640897
double bonds between sulfur and oxygen,-0.0024848541062357566,1.5177257123560708,0.013172689528268665
"sets double-bonded carbons there, with one carbon bonded to two heteroatoms",0.0009146481318193866,-0.6578859562250001,0.012048424494958894
heteroatoms at a 3 bond distance from a ring fragment,0.0030121552270477637,-1.459084220218961,0.011585077218318933
disulfide bonds,-0.000766815381874691,1.3540798545576185,0.011136858069349484
nitrate groups,0.0038032366465517954,0.0,0.01078166410879059
sulfur atoms bonded to two oxygen atoms,-4.19880028092688e-05,-1.6075170490929616,0.008669435710453874
nitrophenol groups,-0.00018961573891056478,0.7055511099926294,0.008439129344990593
"heteroatoms, each bonded to hydrogen, connected by a three-atom chain",0.0010041296480855471,-0.16662805855256235,0.007898213863017329
"sulfur atoms bonded to two non-carbon, non-hydrogen atoms",0.001982491150635027,-2.5982393633659036,0.006810969602076336
heteroatoms at a 2 bond distance from a ring,-0.0005967323162833425,2.5070933225673486,0.005155491204264562
"heteroatoms, each bonded to hydrogen, separated by one atom",0.0007755379151949824,0.0,0.0040699050790912635
double-bonded carbons that have three ring bonds,-0.00036836716883103973,0.06019714235135846,0.003561461840543994
aminoethylidene groups,4.984287225370106e-05,0.0,0.0025945771571970694
hydroperoxide groups,-0.0001080113885935355,0.0,0.0010014461740959744
hydroxylamine-derivatives,-2.0103191705679374e-05,0.015499750577092186,0.0003892429825292251
