,shap_values_$\log_{10} (P_{\text{sat}})$,shap_values_$\log_{10} (K_{\text{W}/\text{G}})$,shap_values_$\log_{10} (K_{\text{WIOM}/\text{G}})$,avg_all_targets
MACCS key 163,0.0250630898991316,0.0525774871214901,0.0196337728099954,0.032424783276872364
MACCS key 104,0.0329404314552707,0.0433721532981292,0.018178606564499,0.03149706377263297
nitrate (1),0.0104875537663226,0.072990346618711,0.0094696287007144,0.030982509695249332
non-aromatic ring (1),0.0315895785151031,0.0418356177843317,0.0181445401821182,0.030523245493851003
MACCS key 142,0.0223307392896666,0.052303639924691,0.013145737332346,0.0292600388489012
MACCS key 115,0.0230755289455641,0.0437526401064983,0.0185973193596223,0.028475162803894904
MACCS key 90,0.0247622073505098,0.0414045927330074,0.0187707971799671,0.028312532421161437
MACCS key 134,0.0240881314585823,0.0133070748523419,0.0453480014989708,0.027581069269964998
MACCS key 82,0.0142847084845416,0.0380381634078673,0.0269786621154977,0.0264338446693022
MACCS key 11,0.0192516434073858,0.0426911110102209,0.0141771042527596,0.025373286223455433
MACCS key 91,0.0216309218976889,0.0342213185025939,0.016642723729168,0.024164988043150263
MACCS key 111,0.0177612612037231,0.0425695283702718,0.00992456289871,0.023418450824234965
MACCS key 138,0.0238657885771017,0.0309563541639768,0.0147247205089259,0.023182287750001463
MACCS key 96,0.0225225556206623,0.0326700606079409,0.0123564624100143,0.022516359546205834
C=C-C=O in non-aromatic ring (2+),0.0167388600896084,0.0329242827240257,0.0175689907213245,0.022410711178319536
MACCS key 152,0.0247981726328578,0.0292598274141896,0.0123470227981569,0.022135007615068102
MACCS key 83,0.0145056308616437,0.0269253483486596,0.023975631101888,0.021802203437397097
MACCS key 76,0.0198277386534804,0.0320347897684299,0.0121836073386668,0.021348711920192363
MACCS key 144,0.015007360623431,0.0228936081861533,0.0187798996540472,0.0188936228212105
MACCS key 128,0.0144340444482192,0.0285057362056289,0.011882188770695,0.01827398980818103
MACCS key 54,0.0233561130176704,0.0214461761306403,0.0091643517549407,0.017988880301083802
alkane CH (2+),0.0243121683958154,0.0143656042771903,0.0129491707243746,0.0172089811324601
ether (1),0.0114303602424763,0.0283412682212881,0.0104549799538382,0.016742202805867534
MACCS key 157,0.0073288380986326,0.0276558079314129,0.0099881979943804,0.014990948008141968
