,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
50,H14CO23C4,C(C(=O)C(=O)CO)O,,C4H6O4,118.09,UNKNOWN,N/A,4,6,0,4,0,0,0,14,1,0.5,0,2,0,2,0,0,0,0,0,0,0,0,4,1.27,3.57,0.82,1.19,0.34,0.68,5.5,9.19,6.89,9.4,5.97,6.59,3.09E-03,3.76,1.12E+01
51,C624CO,C=C(C)C(=O)CCO,,C6H10O2,114.14,LIMONENE,2,6,10,0,2,0,0,0,18,0.33,-1,0,1,0,1,0,0,0,0,0,0,0,0,2,0.96,4.08,0.99,0.69,0.31,0.52,5.2,5.74,6.2,6.18,5.35,5.13,3.94E-02,1.24,2.54E+01
52,CO24M3C5,CC(C(=O)C)C(=O)C,,C6H10O2,114.14,M3PE,2,6,10,0,2,0,0,0,18,0.33,-1,0,0,0,2,0,0,0,0,0,0,0,0,2,1.16,4.03,0.99,0.68,0,0.43,4.5,4.86,4.44,4.7,4.96,4.38,1.69E-01,0.71,3.33E+01
53,H3C2C4CO2H,CC(=O)C(CC(=O)O)O,,C5H8O4,132.11,UNKNOWN,N/A,5,8,0,4,0,0,0,17,0.8,0,0,1,0,1,1,0,0,0,0,0,0,0,3,1.16,4.14,0.96,0.97,0.74,0.52,6.9,9.31,8.03,9.69,8.06,8.83,1.91E-05,4.94,1.05E+01
54,CO2C4CHO,CC(=O)CCC=O,,C5H8O2,100.12,UNKNOWN,N/A,5,8,0,2,0,0,0,15,0.4,-0.8,0,0,1,1,0,0,0,0,0,0,0,0,2,1.23,3.78,0.84,0.63,0,0.45,4.3,4.97,5.54,5.94,5,5.26,1.24E-01,0.87,6.00E+00
55,MIBKBOOH,CC(C)C(C(=O)C)OO,,C6H12O3,132.16,UNKNOWN,N/A,6,12,0,3,0,0,0,21,0.5,-1,0,0,0,1,0,0,0,0,0,0,0,1,2,1.08,4.42,1.09,0.89,0.31,0.47,5.8,6.92,5.38,4.89,6.04,4.9,8.80E-03,1.12,1.92E+02
56,C6H5OOH,c1ccc(cc1)OO,,C6H6O2,110.11,UNKNOWN,N/A,6,6,0,2,0,0,0,14,0.33,-0.33,1,0,0,0,0,0,0,0,0,0,0,1,1,1.06,4.15,0.83,0.6,0.31,0.82,5.2,5.89,6.22,5.33,6.36,4.85,3.43E-02,0.14,5.50E+01
57,PXYMUCNO3,CC(=O)C(C(C1(C)C(C=O)O1)O)ON(=O)=O,,C8H11NO7,233.18,PXYL,2,8,11,1,7,0,0,0,27,0.88,-0.25,0,1,1,1,0,0,1,0,1,0,0,0,5,2.12,7.93,1.51,1.49,0.19,1.15,9.6,12.31,10.25,11.35,8.96,6.58,1.48E-05,0.81,2.36E+03
58,CHOC4PAN,C(CCC(=O)OON(=O)=O)CC=O,,C6H9NO6,191.14,UNKNOWN,N/A,6,9,1,6,0,0,0,22,1,-0.33,0,0,1,0,0,0,0,0,0,1,0,0,2,1.7,5.88,1.28,0.79,0,0.48,6.7,6.68,8.3,6.94,6.19,2.87,1.12E-02,0.63,1.59E+04
59,C624NO3,C=C(C)C(CCO)ON(=O)=O,,C6H11NO4,161.16,LIMONENE,2,6,11,1,4,0,0,0,22,0.67,-1.33,0,1,0,0,0,0,0,0,1,0,0,0,2,1.02,4.96,1.2,0.54,0.31,0.5,6,4.98,7.53,5.96,6.37,4.11,3.20E-03,1.46,3.22E+03
