,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
2019,C825CO,C=C(C)C(CC(=O)C(=O)O)CO,,C8H12O4,172.18,LIMONENE,1,8,12,0,4,0,0,0,24,0.5,-0.5,0,1,0,1,1,0,0,0,0,0,0,0,3,1.39,6.06,1.34,1.05,0.88,0.69,9.2,10.72,9.44,8.79,8.7,8.07,1.37E-05,1.6,8.29E+01
2020,NC524NO3,C(C(C(CO)(CO)ON(=O)=O)ON(=O)=O)O,,C5H10N2O9,242.14,C5H8,2,5,10,2,9,0,0,0,26,1.8,-0.4,0,3,0,0,0,0,0,0,2,0,0,0,5,1.91,7.94,1.46,1.43,0.73,1.07,10.8,13.81,12.49,13.58,10.87,9.38,4.20E-07,0.36,1.34E+02
2021,IC4H9OOH,CC(C)COO,,C4H10O2,90.12,UNKNOWN,N/A,4,10,0,2,0,0,0,16,0.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.59,2.84,0.79,0.55,0.31,0.25,3.8,4.16,4.68,3.93,4.49,3.73,3.04E-01,1.16,8.24E+01
2022,BZBIPERNO3,C1=CC(C2C(C1OO2)O)ON(=O)=O,,C6H7NO6,189.12,UNKNOWN,N/A,6,7,1,6,0,0,0,20,1,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1.46,6.27,1.1,1.14,0.19,1.14,7.2,9.4,8.83,8.32,7.97,6.42,1.22E-04,0.95,4.15E+02
2023,NC102OOH,CC(C)(C1CC(=O)CC(=O)C1(C)ON(=O)=O)OO,,C10H15NO7,261.23,APINENE,2,10,15,1,7,0,0,0,33,0.7,-0.6,0,0,0,2,0,0,0,0,1,0,0,1,4,2.13,8.54,1.79,1.35,0.31,1.03,10.5,11.65,11.88,11.98,10.35,7.99,6.78E-07,0.72,2.02E+03
2024,MEKCOH,CCC(=O)CO,,C4H8O2,88.11,UNKNOWN,N/A,4,8,0,2,0,0,0,14,0.5,-1,0,1,0,1,0,0,0,0,0,0,0,0,2,0.73,2.66,0.75,0.62,0.17,0.34,3.4,4.27,4.76,5.27,4.18,4.3,6.36E-01,1.14,1.06E+01
2025,TM124BP2OH,CC12C=CC(C)(C(C)(C1O)OO2)O,,C9H14O4,186.21,TM124B,1,9,14,0,4,0,0,0,27,0.44,-0.67,0,2,0,0,0,0,0,0,0,0,0,1,3,0.99,6.29,1.35,1.36,0.46,1.09,7.7,10.04,9,8.75,9.1,8.56,4.05E-06,2.16,9.04E+01
2026,CHCL2COCL,C(C(=O)Cl)(Cl)Cl,,C2HCl3O,147.39,CHCL2CHCL2,1,2,1,0,1,3,0,0,7,0.5,2,0,0,0,1,0,0,0,0,0,0,0,0,4,1,3.32,0.77,0.32,0.09,0.56,3.8,3.21,3.87,2.2,3.7,0.94,2.78E+00,0.81,5.53E+03
2027,NOPINDCO,CC1(C)C2CC1C(=O)C(=O)C2,,C9H12O2,152.19,BPINENE,1,9,12,0,2,0,0,0,23,0.22,-0.89,0,0,0,2,0,0,0,0,0,0,0,0,2,1.26,5.64,1.19,0.7,0,0.84,5.8,5.46,6.44,6.08,7.46,6.33,5.37E-04,0.71,1.17E+02
2028,C2H5OOH,CCOO,,C2H6O2,62.07,UNKNOWN,N/A,2,6,0,2,0,0,0,10,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6,1.97,0.51,0.52,0.31,0.25,3,4.29,3.93,4.28,3.82,4.12,1.24E+00,1.37,8.11E+00
2029,HM22C3CO3H,CC(C)(CC(=O)OO)CO,,C6H12O4,148.16,M22C4,2,6,12,0,4,0,0,0,22,0.67,-0.67,0,1,0,0,0,0,0,0,0,0,1,0,2,1.07,4.69,1.15,0.96,0.63,0.45,7,8.48,7.92,7.92,5.93,4.68,7.05E-03,1.81,3.98E+02
2030,TBUTOL,CC(C)(C)O,,C4H10O,74.12,UNKNOWN,N/A,4,10,0,1,0,0,0,15,0.25,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.39,2.25,0.73,0.35,0.31,0.19,3,2.58,3.07,3.2,3.54,3.43,9.57E-01,3.25,5.18E+01
2031,C87CO,CC(C)(C=O)C(C=O)C(=O)C=O,,C8H10O4,170.16,BPINENE,3,8,10,0,4,0,0,0,22,0.5,-0.25,0,0,3,1,0,0,0,0,0,0,0,0,4,2.26,6.5,1.3,1.28,0,0.9,8,10.56,6.83,8.23,6.69,4.72,1.81E-03,1.22,1.42E+03
2032,NDNOXYLOOH,CC1=C(C(C2(C(C1(C)OO2)ON(=O)=O)N(=O)=O)(O)OO)N(=O)=O,,C8H9N3O12,339.17,UNKNOWN,N/A,8,9,3,12,0,0,0,32,1.5,0,0,1,0,0,0,0,0,2,1,0,0,2,6,2.73,10.03,1.85,2.07,0.61,1.68,13.5,18.31,14.41,12.74,12.17,7.34,4.13E-07,0.02,1.48E+04
2033,C518PAN,C=C(C)C(CO)C(=O)OON(=O)=O,,C6H9NO6,191.14,LIMONENE,3,6,9,1,6,0,0,0,22,1,-0.33,0,1,0,0,0,0,0,0,0,1,0,0,2,1.41,5.57,1.28,0.87,0.31,0.56,7.1,7.56,8.32,7.53,6.17,2.99,1.18E-02,0.63,1.14E+04
2034,C824CO,C=C(C)C(CCO)C(=O)C=O,,C8H12O3,156.18,LIMONENE,1,8,12,0,3,0,0,0,23,0.38,-0.75,0,1,1,1,0,0,0,0,0,0,0,0,3,1.5,5.8,1.28,1.01,0.31,0.76,7.4,8.56,7.02,8.04,7.05,5.77,8.06E-04,1.22,2.81E+02
2035,DMEBMUOH,CCC(=O)C(C(C)(C1C(C)(C=O)O1)O)O,,C10H16O5,216.23,DIME35EB,2,10,16,0,5,0,0,0,31,0.5,-0.6,0,2,1,1,0,0,1,0,0,0,0,0,5,1.62,7.05,1.62,1.56,0.36,1.02,9,11.62,9.73,11.48,8.78,7.44,1.22E-05,1.5,3.96E+02
2036,C923CO3H,C=C(C)C(CCC(=O)C)CC(=O)OO,,C10H16O4,200.23,LIMONENE,2,10,16,0,4,0,0,0,30,0.4,-0.8,0,0,0,1,0,0,0,0,0,0,1,0,2,1.35,6.56,1.62,1.06,0.31,0.58,8,8.05,7.86,6.4,8.33,5.87,4.50E-05,1.14,4.05E+03
2037,IPRMETOOH,CC(C)(OC)OO,,C4H10O3,106.12,MTBE,2,4,10,0,3,0,0,0,17,0.75,-1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.7,3,0.85,0.77,0.31,0.27,4.1,5.44,4.08,4.03,5.01,4.83,6.54E-02,1.62,2.99E+01
2038,PXYFUOH,CC1(C(COC1=O)O)O,,C5H8O4,132.11,UNKNOWN,N/A,5,8,0,4,0,0,0,17,0.8,0,0,2,0,0,0,1,0,0,0,0,0,0,3,1.61,4.42,0.9,1.12,0.36,0.69,6.6,9.81,8.1,11.01,8.73,9.85,4.19E-06,4.9,4.53E+00
2039,INDOH,CC(CO)(C(CO)ON(=O)=O)O,,C5H11NO6,181.14,UNKNOWN,N/A,5,11,1,6,0,0,0,23,1.2,-0.8,0,3,0,0,0,0,0,0,1,0,0,0,4,1.42,6.03,1.22,1.16,0.77,0.82,8.8,11.22,9.86,11.61,8.4,7.95,1.08E-05,4.07,1.38E+02
2040,ALCOMOXOOH,C(=O)C(=O)OCOO,,C3H4O5,120.06,UNKNOWN,N/A,3,4,0,5,0,0,0,12,1.67,2,0,0,1,0,0,1,0,0,0,0,0,1,3,1.55,3.92,0.74,1.14,0.31,0.54,5.9,9.75,6.87,8.58,6.74,6.35,2.87E-03,0.74,2.08E+01
2041,IPBZMUCO2H,CC(C)C(=O)C=CC1C(C(=O)O)O1,,C9H12O4,184.19,IPBENZ,2,9,12,0,4,0,0,0,25,0.44,-0.44,0,0,0,1,1,0,1,0,0,0,0,0,3,1.43,6.33,1.37,1.02,0.57,0.81,8.5,9.52,9.3,8.89,10.58,9.73,1.70E-07,1.7,1.47E+02
2042,C4COMOHPAN,CC(=O)C(=O)C(C)(C(=O)OON(=O)=O)O,,C6H7NO8,221.12,UNKNOWN,N/A,6,7,1,8,0,0,0,22,1.33,0.67,0,1,0,2,0,0,0,0,0,1,0,0,4,2.02,6.01,1.35,1.42,0.1,0.75,7.8,10.82,9.19,10.35,6.31,1.94,2.62E-02,0.2,5.78E+04
2043,IPEBNO3,CC(C)C(C)ON(=O)=O,,C5H11NO3,133.15,UNKNOWN,N/A,5,11,1,3,0,0,0,20,0.6,-2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.72,3.7,1.05,0.22,0,0.21,3.6,1.3,4.21,1.51,3.62,0,2.00E+00,1.32,6.69E+04
2044,NOETOLOH,CCC1=C(C)C2C(C(C1(O)O)OO2)ON(=O)=O,,C9H13NO7,247.2,OETHTOL,2,9,13,1,7,0,0,0,30,0.78,-0.44,0,2,0,0,0,0,0,0,1,0,0,1,4,1.6,8.08,1.58,1.44,0.52,1.26,10,12.19,9.91,9.84,9.73,6.99,4.04E-06,0.5,3.38E+03
2045,CYHXOLAOOH,C1CCC(C(C1)O)OO,,C6H12O3,132.16,UNKNOWN,N/A,6,12,0,3,0,0,0,21,0.5,-1,0,1,0,0,0,0,0,0,0,0,0,1,2,0.89,4.94,1.02,0.93,0.54,0.71,6.5,8.08,7.96,8.31,7.24,7.19,1.44E-04,4.35,5.94E+01
2046,H2M2CO5C6,CC(=O)CCC(C)(C)O,,C7H14O2,130.18,M2HEX,1,7,14,0,2,0,0,0,23,0.29,-1.43,0,1,0,1,0,0,0,0,0,0,0,0,2,0.89,4.44,1.17,0.66,0.31,0.4,5.5,5.16,5.96,6.56,6.19,6,5.29E-03,1.34,2.54E+01
2047,CYHEXONE,C1CCC(=O)CC1,,C6H10O,98.14,UNKNOWN,N/A,6,10,0,1,0,0,0,17,0.17,-1.33,1,0,0,1,0,0,0,0,0,0,0,0,1,0.77,3.72,0.86,0.32,0,0.42,3.6,2.4,4.55,3.68,4.67,4.15,3.81E-01,0.6,2.50E+01
2048,M23C43NO3,CC(C)C(C)(C)ON(=O)=O,,C6H13NO3,147.17,M23C4,1,6,13,1,3,0,0,0,23,0.5,-2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.68,3.98,1.19,0.23,0,0.18,3.9,1.06,4.47,1.25,3.96,0.25,8.28E-01,1.45,8.94E+04
2049,MXYOLOOH,CC12C=CC(C(C)(C1O)OO2)(O)OO,,C8H12O6,204.18,MXYL,2,8,12,0,6,0,0,0,26,0.75,0,0,2,0,0,0,0,0,0,0,0,0,2,4,1.42,7.01,1.33,1.85,0.77,1.34,9.8,15.02,9.87,10.89,10.65,10.89,1.33E-07,1.83,1.30E+01
2050,C4COMOH3OH,CCC(CC(=O)CO)O,,C6H12O3,132.16,UNKNOWN,N/A,6,12,0,3,0,0,0,21,0.5,-1,0,2,0,1,0,0,0,0,0,0,0,0,3,0.99,4.37,1.09,0.93,0.48,0.55,6.2,7.58,7.84,9.26,6.63,6.6,1.16E-03,2.2,2.91E+01
2051,C826OOH,CC(CO)(C(CC=O)CC=O)OO,,C8H14O5,190.19,LIMONENE,2,8,14,0,5,0,0,0,27,0.63,-0.5,0,1,2,0,0,0,0,0,0,0,0,1,4,1.85,7.1,1.44,1.55,0.54,0.94,9.7,13.18,9.32,12.09,8.73,8.6,8.82E-06,2.3,3.81E+01
2052,TM124MUOOH,CC(=O)C(C(C1(C)C(C)(C=O)O1)OO)O,,C9H14O6,218.2,TM124B,2,9,14,0,6,0,0,0,29,0.67,-0.22,0,1,1,1,0,0,1,0,0,0,0,1,5,1.74,7.04,1.53,1.81,0.4,1.08,9.3,13.51,9.58,11.21,8.62,6.92,2.36E-05,1.11,6.82E+02
2053,BZEMUCOOH,C(=O)C(C(C1C(C=O)O1)OO)O,,C6H8O6,176.12,UNKNOWN,N/A,6,8,0,6,0,0,0,20,1,0.67,0,1,2,0,0,0,1,0,0,0,0,1,5,1.89,6.13,1.11,1.78,0.4,1.16,8.6,14.26,9.49,12.46,9.44,9.52,1.20E-06,3.32,3.38E+01
2054,TM124OHNO2,Cc1cc(c(C)c(C)c1O)N(=O)=O,,C9H11NO3,181.19,TM124B,2,9,11,1,3,0,0,0,24,0.33,-1.11,1,1,0,0,0,0,0,1,0,0,0,0,2,1.3,6.67,1.37,0.49,0.48,1.13,8,6.36,11.26,7.76,9,6.38,1.73E-05,0.64,3.22E+03
2055,ETBECNO3,CC(C)(C)OCCON(=O)=O,,C6H13NO4,163.17,ETBE,1,6,13,1,4,0,0,0,24,0.67,-1.67,0,0,0,0,0,0,1,0,1,0,0,0,2,0.85,4.47,1.25,0.42,0,0.21,4.5,2.47,5.4,2.98,5.4,2.08,4.21E-02,1.04,2.63E+04
2056,SBUACBNO3,CC(C(C)ON(=O)=O)OC(=O)C,,C6H11NO5,177.16,SBUTACET,1,6,11,1,5,0,0,0,23,0.83,-1,0,0,0,0,0,1,0,0,1,0,0,0,2,1.12,4.81,1.26,0.56,0,0.27,5.2,3.86,6.07,3.98,6.02,2.83,1.17E-02,0.88,1.70E+04
2057,C5CODBCO2H,CC(=CC(=O)C)C(=O)O,,C6H8O3,128.13,UNKNOWN,N/A,6,8,0,3,0,0,0,17,0.5,-0.33,0,0,0,1,1,0,0,0,0,0,0,0,2,1.17,4.4,1,0.75,0.57,0.51,6.5,7.57,7.17,7.59,7.03,6.7,6.66E-04,1.54,4.03E+01
2058,C6OH5NO3,CCCCC(CO)ON(=O)=O,,C6H13NO4,163.17,HEX1ENE,1,6,13,1,4,0,0,0,24,0.67,-1.67,0,1,0,0,0,0,0,0,1,0,0,0,2,0.96,5.25,1.25,0.57,0.23,0.44,5.9,4.75,7.28,5.29,6.1,3.3,6.74E-03,1.28,1.00E+04
2059,T123NCATEC,Cc1c(C)c(c(c(c1C)O)O)N(=O)=O,,C9H11NO4,197.19,TM123B,3,9,11,1,4,0,0,0,25,0.44,-0.89,1,2,0,0,0,0,0,1,0,0,0,0,3,1.24,6.93,1.43,0.5,0.58,1.17,8.5,6.67,12.55,9.16,7.36,3.68,7.57E-04,0.63,3.67E+04
2060,COO2C4CHO,COC(=O)CCC=O,,C5H8O3,116.12,BCARY,2,5,8,0,3,0,0,0,16,0.6,-0.4,0,0,1,0,0,1,0,0,0,0,0,0,2,1.13,3.69,0.9,0.65,0,0.3,4.2,4.68,5.43,5.5,5.3,4.92,5.40E-02,1.01,2.94E+01
2061,EBZMUCCO3H,CCC(=O)C=CC1C(C(=O)OO)O1,,C8H10O5,186.16,EBENZ,2,8,10,0,5,0,0,0,23,0.63,0,0,0,0,1,0,0,1,0,0,0,1,0,3,1.67,6.3,1.29,1.26,0.31,0.9,8.1,10.42,8.49,8.36,8.57,7.4,2.13E-05,1.37,2.48E+02
2062,EBFUOH,CCC1C(C(C(=O)O1)O)O,,C6H10O4,146.14,UNKNOWN,N/A,6,10,0,4,0,0,0,20,0.67,-0.33,0,2,0,0,0,1,0,0,0,0,0,0,3,1.65,5.02,1.04,1.15,0.36,0.72,7.1,9.99,8.67,10.92,8.92,9.95,2.61E-06,5.07,5.80E+00
2063,TM124BPNO3,CC12C=CC(C)(C(C)(C1O)OO2)ON(=O)=O,,C9H13NO6,231.2,TM124B,1,9,13,1,6,0,0,0,29,0.67,-0.67,0,1,0,0,0,0,0,0,1,0,0,1,3,1.32,7.09,1.53,1.17,0.19,1.06,7.9,8.63,8.99,6.96,8.28,5.34,7.11E-05,0.82,8.61E+03
2064,IBUTOLCO2H,CC(CO)COO,,C4H10O3,106.12,UNKNOWN,N/A,4,10,0,3,0,0,0,17,0.75,-1,0,1,0,0,0,0,0,0,0,0,0,1,2,0.87,3.68,0.85,0.83,0.63,0.45,5.8,7.66,6.48,6.56,6.56,7.44,6.51E-04,4.67,7.40E+00
2065,MMCFNO3,C(=O)OC(=O)OCON(=O)=O,,C3H3NO7,165.06,UNKNOWN,N/A,3,3,1,7,0,0,0,14,2.33,2,0,0,0,0,0,2,0,0,1,0,0,0,3,1.59,4.31,0.91,0.8,0,0.34,5.3,6.64,8.13,7.43,5.61,2.24,1.01E-01,0.27,7.63E+03
2066,MTBEALCO3H,CC(C)(C(=O)OO)OC=O,,C5H8O5,148.11,UNKNOWN,N/A,5,8,0,5,0,0,0,18,1,0.4,0,0,0,0,0,1,0,0,0,0,1,0,2,1.24,4.11,1.02,0.99,0.31,0.34,5.8,7.75,5.74,5.42,5.8,4.82,2.84E-02,0.61,7.07E+01
2067,HOPINONIC,CC1(C)C(CC1C(=O)CO)CC(=O)O,,C10H16O4,200.23,APINENE,1,10,16,0,4,0,0,0,30,0.4,-0.8,0,1,0,1,1,0,0,0,0,0,0,0,3,1.18,6.45,1.56,1.03,0.74,0.71,8.9,9.33,10.44,11.16,10.51,10.39,7.44E-08,4.57,7.35E+01
2068,APINBOH,CC1(C)C2CC1C(C)(C(C2)O)O,,C10H18O2,170.25,APINENE,1,10,18,0,2,0,0,0,30,0.2,-1.4,0,2,0,0,0,0,0,0,0,0,0,0,2,0.74,5.88,1.42,0.71,0.54,0.81,7.1,6.12,7.55,6.89,7.76,7.19,2.65E-05,7.21,3.30E+02
2069,PBZMUCPAN,CCCC(=O)C=CC1C(C(=O)OON(=O)=O)O1,,C9H11NO7,245.19,PBENZ,2,9,11,1,7,0,0,0,28,0.78,-0.22,0,0,0,1,0,0,1,0,0,1,0,0,3,1.97,7.66,1.61,1.12,0,0.88,8.6,8.98,9.84,8.16,8.89,4.18,2.34E-05,0.6,3.74E+05
2070,METLMUCOOH,CCC(=O)C(C(C1C(C)(C=O)O1)O)OO,,C9H14O6,218.2,METHTOL,2,9,14,0,6,0,0,0,29,0.67,-0.22,0,1,1,1,0,0,1,0,0,0,0,1,5,1.98,7.94,1.53,1.86,0.5,1.2,10.5,15.08,10.19,12.16,9.36,7.74,3.67E-06,1.3,6.64E+02
2071,BZFUCO,C1C(C(=O)C(=O)O1)O,,C4H4O4,116.07,UNKNOWN,N/A,4,4,0,4,0,0,0,12,1,1,0,1,0,1,0,1,0,0,0,0,0,0,3,1.13,3.54,0.71,1.04,0.09,0.66,4.4,7.45,7.78,10,8.03,8.42,4.89E-05,2.25,1.03E+01
2072,C822OH,C=C(C)C(CC=O)CCO,,C8H14O2,142.2,LIMONENE,1,8,14,0,2,0,0,0,24,0.25,-1.25,0,1,1,0,0,0,0,0,0,0,0,0,2,1.01,5.09,1.27,0.71,0.31,0.54,6.2,5.74,7.23,6.63,6.52,5.83,2.05E-03,1.6,9.64E+01
2073,HOBUT2CHO,CC(CCO)C=O,,C5H10O2,102.13,UNKNOWN,N/A,5,10,0,2,0,0,0,17,0.4,-1.2,0,1,1,0,0,0,0,0,0,0,0,0,2,0.99,3.8,0.89,0.63,0.31,0.45,5,5.59,5.92,6.59,5.27,5.76,2.15E-02,2.72,1.07E+01
2074,C719OOH,CC1(C(CC(=O)CC1O)O)OO,,C7H12O5,176.17,UNKNOWN,N/A,7,12,0,5,0,0,0,24,0.71,-0.29,0,2,0,1,0,0,0,0,0,0,0,1,4,1.56,6.7,1.24,1.6,0.81,1.13,9.7,14.23,11.98,15.14,11.19,12.67,5.28E-09,13.42,5.46E+00
2075,C5DBEPAN,CCC(=CC(=O)OON(=O)=O)C(=O)C(=O)C,,C8H9NO7,231.16,METHTOL,3,8,9,1,7,0,0,0,25,0.88,0,0,0,0,2,0,0,0,0,0,1,0,0,3,2.19,7.3,1.53,1.19,0,0.81,8.6,9.78,10.44,9.43,6.59,1.36,5.57E-03,0.5,1.03E+06
2076,C5CO14OH,CC(=O)C=CC(=O)O,,C5H6O3,114.1,UNKNOWN,N/A,5,6,0,3,0,0,0,14,0.6,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1.22,4.04,0.86,0.73,0.57,0.54,6.2,7.74,6.89,7.59,7.12,7.54,4.16E-04,1.99,9.20E+00
2077,M3HEXANO3,CCC(C)CC(C)ON(=O)=O,,C7H15NO3,161.2,M3HEX,1,7,15,1,3,0,0,0,26,0.43,-2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.73,4.69,1.33,0.23,0,0.2,4.5,1.17,4.98,1.2,4.47,-0.09,2.04E-01,1.79,7.98E+05
2078,C730OOH,CC(CO)(C(CCO)C=O)OO,,C7H14O5,178.18,LIMONENE,2,7,14,0,5,0,0,0,26,0.71,-0.57,0,2,1,0,0,0,0,0,0,0,0,1,4,1.57,6.61,1.35,1.53,0.85,0.91,9.9,13.71,10.65,13.44,9.22,9.79,1.65E-06,4.02,1.32E+01
2079,C7CO4EDB,CCC(=CC(=O)C=O)C(=O)C(=O)C,,C9H10O4,182.17,METHTOL,3,9,10,0,4,0,0,0,23,0.44,-0.22,0,0,1,3,0,0,0,0,0,0,0,0,4,2.27,7.03,1.4,1.33,0,1,8.5,10.86,8.83,9.48,6.62,3.38,3.01E-03,0.88,1.85E+04
2080,C521OH,C(CO)C(=O)C(=O)CO,,C5H8O4,132.11,BCARY,3,5,8,0,4,0,0,0,17,0.8,0,0,2,0,2,0,0,0,0,0,0,0,0,4,1.5,4.7,0.96,1.2,0.48,0.75,7,10.45,8.51,11.06,6.81,7.36,3.24E-04,5.27,1.80E+01
2081,C8CO2DBPAN,CCCC(=CC(=O)C=O)C(=O)OON(=O)=O,,C8H9NO7,231.16,UNKNOWN,N/A,8,9,1,7,0,0,0,25,0.88,0,0,0,1,1,0,0,0,0,0,1,0,0,3,2.25,7.43,1.53,1.18,0,0.83,8.8,9.91,10.42,9.22,6.09,0.53,1.74E-02,0.51,2.25E+06
2082,C726CO5OOH,CC(=O)C=CC(C(=O)C)OO,,C7H10O4,158.15,UNKNOWN,N/A,7,10,0,4,0,0,0,21,0.57,-0.29,0,0,0,2,0,0,0,0,0,0,0,1,3,1.69,5.73,1.2,1.23,0.31,0.83,7.6,10.24,7.9,8.39,8.56,8.21,1.26E-05,2.4,6.58E+01
2083,C136OH,C=C(CCC=O)C1CC(C)(C)C1CCO,,C13H22O2,210.31,BCARY,1,13,22,0,2,0,0,0,37,0.15,-1.38,0,1,1,0,0,0,0,0,0,0,0,0,2,1.03,7.4,1.86,0.76,0.31,0.74,8.2,5.71,9.28,6.67,8.37,6.38,1.91E-05,2.44,2.93E+03
2084,IBUTACID,CC(C)C(=O)O,,C4H8O2,88.11,UNKNOWN,N/A,4,8,0,2,0,0,0,14,0.5,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.61,2.73,0.75,0.39,0.57,0.18,4.4,4.42,4.77,5.18,4.82,4.62,1.06E-01,1.54,3.00E+01
2085,PXNCATECH,Cc1cc(c(C)c(c1O)O)N(=O)=O,,C8H9NO4,183.16,PXYL,3,8,9,1,4,0,0,0,22,0.5,-0.75,1,2,0,0,0,0,0,1,0,0,0,0,3,1.53,6.95,1.29,0.63,1.14,1.25,10.5,10.41,14.36,11.78,10.07,8.05,3.12E-06,0.3,3.82E+02
2086,C66NO35CO,CCCCC(=O)CON(=O)=O,,C6H11NO4,161.16,HEX1ENE,1,6,11,1,4,0,0,0,22,0.67,-1.33,0,0,0,1,0,0,0,0,1,0,0,0,2,1.25,5.13,1.2,0.48,0,0.4,5.5,4.01,6.69,4.72,5.89,2.52,1.74E-02,0.81,2.30E+04
2087,TLEPOXMUC,CC(=O)C=CC1C(C=O)O1,,C7H8O3,140.14,TOLUENE,1,7,8,0,3,0,0,0,18,0.43,-0.29,0,0,1,1,0,0,1,0,0,0,0,0,3,1.54,5.2,1.03,0.94,0,0.87,5.9,7.42,6.9,7.54,7.52,6.82,1.96E-04,1.69,1.04E+02
2088,C113OH,CCCCCC(C(CC(=O)CC)O)O,,C11H22O3,202.29,NC11H24,2,11,22,0,3,0,0,0,36,0.27,-1.45,0,2,0,1,0,0,0,0,0,0,0,0,3,1.21,7.29,1.79,0.97,0.54,0.62,9.1,8.14,8.76,8.42,8.45,5.94,2.19E-05,1.76,7.06E+03
2089,NEBFUOOH,CCC1C(C(C(=O)O1)OO)ON(=O)=O,,C6H9NO7,207.14,UNKNOWN,N/A,6,9,1,7,0,0,0,23,1.17,0,0,0,0,0,0,1,0,0,1,0,0,1,3,2.35,6.91,1.27,1.17,0.31,0.81,9.3,11.64,10.22,9.54,8.74,6.37,8.01E-05,0.25,7.16E+02
2090,H2M3C4OOH,CC(COO)C(C)O,,C5H12O3,120.15,UNKNOWN,N/A,5,12,0,3,0,0,0,20,0.6,-1.2,0,1,0,0,0,0,0,0,0,0,0,1,2,0.85,4.06,0.99,0.86,0.63,0.46,6.1,7.61,6.27,6.31,6.73,7.19,5.88E-04,3.49,1.49E+01
2091,C1210CO3H,CC1(C)CC(C1CCC(=O)OO)C(=O)CCC=O,,C13H20O5,256.29,BCARY,3,13,20,0,5,0,0,0,38,0.38,-0.77,0,0,1,1,0,0,0,0,0,0,1,0,3,1.92,8.92,2,1.33,0.31,0.91,10.6,10.82,10.72,9.65,10.13,7.16,7.58E-07,1.07,1.23E+04
2092,H2MC5OOH,CC(CCOO)C(C)O,,C6H14O3,134.17,M3PE,1,6,14,0,3,0,0,0,23,0.5,-1.33,0,1,0,0,0,0,0,0,0,0,0,1,2,0.86,4.56,1.13,0.86,0.63,0.46,6.6,7.52,7.55,8.07,6.69,6.5,6.66E-04,3.37,6.30E+01
2093,MALDALCO2H,C(=CC(=O)O)C=O,,C4H4O3,100.07,UNKNOWN,N/A,4,4,0,3,0,0,0,11,0.75,0.5,0,0,1,0,1,0,0,0,0,0,0,0,2,1.27,3.68,0.72,0.71,0.57,0.56,6,7.91,6.27,7.16,6.73,7.15,1.45E-03,1.49,6.59E+00
2094,BCKAOH,CC1(C)CC2C1CCC(C)(C(CCC2=O)O)O,,C14H24O3,240.34,BCARY,2,14,24,0,3,0,0,0,41,0.21,-1.29,0,2,0,1,0,0,0,0,0,0,0,0,3,1.25,8.57,2,1.03,0.54,1.02,10.1,8.67,9.69,10.3,11.01,10.26,2.65E-08,4.02,2.78E+02
2095,NPXYFUOOH,CC1(C(COC1=O)ON(=O)=O)OO,,C5H7NO7,193.11,UNKNOWN,N/A,5,7,1,7,0,0,0,20,1.4,0.4,0,0,0,0,0,1,0,0,1,0,0,1,3,2.31,6.31,1.13,1.14,0.31,0.78,8.7,11.46,9.53,9.33,8.39,6.13,1.69E-04,0.27,5.90E+02
2096,HC3CO2H,C(=CC(=O)O)CO,,C4H6O3,102.09,UNKNOWN,N/A,4,6,0,3,0,0,0,13,0.75,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.99,3.68,0.76,0.7,0.88,0.53,6.6,8.39,7.89,8.93,7.85,9.6,1.21E-05,12.77,2.82E+00
2097,C515CO3H,C(C=O)C(=O)C(=O)CC(=O)OO,,C6H6O6,174.11,BPINENE,3,6,6,0,6,0,0,0,18,1,1,0,0,1,2,0,0,0,0,0,0,1,0,4,2.39,6.44,1.13,1.54,0.31,0.92,9.1,13.73,8.71,11.42,8.12,6.74,1.04E-04,0.8,2.34E+02
