substrate,well,dioxazolone,OH,product,yield (%),predicted
A1-C43,W1319,CC1=CC=C(C(O2)=NOC2=O)C=C1,OC/C=C(C)/CC/C=C(C)/C,C/C(CC/C=C(C)/C)=C\COC(NC1=CC=C(C)C=C1)=O,60,41.60443115
A1-C44,W1320,CC1=CC=C(C(O2)=NOC2=O)C=C1,CCCCC/C=C/CO,CCCCC/C=C/COC(NC1=CC=C(C)C=C1)=O,69,67.0567627
A1-C45,W1321,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC#CC,CC#CCOC(NC1=CC=C(C)C=C1)=O,71,65.16461945
A1-C46,W1322,CC1=CC=C(C(O2)=NOC2=O)C=C1,ICCCO,ICCCOC(NC1=CC=C(C)C=C1)=O,59,60.78488922
A1-C47,W1323,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCCCCCCBr,BrCCCCCCCOC(NC1=CC=C(C)C=C1)=O,54,66.21466827
A1-C48,W1324,CC1=CC=C(C(O2)=NOC2=O)C=C1,CCCCCO,CCCCCOC(NC1=CC=C(C)C=C1)=O,67,60.23490906
A24-C1,W1325,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC=CC=C1,O=C(NCC1=CC=C(Cl)C=C1)OCC2=CC=CC=C2,56,63.2437973
A24-C2,W1326,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,CC1=CC=C(CO)C=C1,CC1=CC=C(COC(NCC2=CC=C(Cl)C=C2)=O)C=C1,67,62.5200882
A24-C3,W1327,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,ClC1=CC=C(CO)C=C1,ClC1=CC=C(COC(NCC2=CC=C(Cl)C=C2)=O)C=C1,62,65.79412842
A24-C4,W1328,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,ClC1=CC(CO)=CC=C1,ClC1=CC(COC(NCC2=CC=C(Cl)C=C2)=O)=CC=C1,56,66.63314056
A24-C5,W1329,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC=CC(Br)=C1,BrC1=CC(COC(NCC2=CC=C(Cl)C=C2)=O)=CC=C1,53,63.37546539
A24-C6,W1330,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC=CC=C1Cl,ClC1=CC=CC=C1COC(NCC2=CC=C(Cl)C=C2)=O,55,65.22727203
A24-C7,W1331,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC=CC=C1I,IC1=CC=CC=C1COC(NCC2=CC=C(Cl)C=C2)=O,60,66.77909088
A24-C8,W1332,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC(Cl)=CC(Cl)=C1,ClC1=CC(COC(NCC2=CC=C(Cl)C=C2)=O)=CC(Cl)=C1,59,66.40415955
A24-C9,W1333,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,O=C(OCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)NCC2=CC=C(Cl)C=C2,44,46.92347336
A24-C10,W1334,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,COC1=CC=C(Br)C=C1CO,COC1=CC=C(Br)C=C1COC(NCC2=CC=C(Cl)C=C2)=O,50,59.22482681
A24-C11,W1335,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC(F)=CC=C1Br,BrC1=CC=C(F)C=C1COC(NCC2=CC=C(Cl)C=C2)=O,54,67.17375183
A24-C12,W1336,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=C([N+]([O-])=O)C=C(OC)C(OC)=C1,COC1=CC([N+]([O-])=O)=C(COC(NCC2=CC=C(Cl)C=C2)=O)C=C1OC,35,36.87937164
A24-C13,W1337,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=C(F)C(F)=C(F)C(F)=C1F,FC1=C(COC(NCC2=CC=C(Cl)C=C2)=O)C(F)=C(F)C(F)=C1F,43,42.423069
A24-C14,W1338,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC(OC2=CC=CC=C2)=CC=C1,O=C(NCC1=CC=C(Cl)C=C1)OCC2=CC(OC3=CC=CC=C3)=CC=C2,44,53.00513458
A24-C15,W1339,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC=C(B2OC(C)(C)C(C)(C)O2)C=C1,CC1(C)C(C)(C)OB(O1)C2=CC=C(COC(NCC3=CC=C(Cl)C=C3)=O)C=C2,45,44.74052811
A24-C16,W1340,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC=C(N2C(C)=NC=C2)C=C1,CC1=NC=CN1C2=CC=C(COC(NCC3=CC=C(Cl)C=C3)=O)C=C2,33,44.11901093
A24-C17,W1341,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=CC=CC=C1N2C=NC=C2,O=C(OCC1=CC=CC=C1N2C=NC=C2)NCC3=CC=C(Cl)C=C3,27,38.77810287
A24-C18,W1342,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1=C2C(C=CC=C2)=CC3=CC=CC=C31,O=C(OCC1=C2C(C=CC=C2)=CC3=CC=CC=C31)NCC4=CC=C(Cl)C=C4,35,43.84211349
A24-C19,W1343,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,CC(O)C1=CC=CC=C1,CC(OC(NCC1=CC=C(Cl)C=C1)=O)C2=CC=CC=C2,66,64.79195404
