substrate,well,dioxazolone,OH,product,yield (%),predicted
A6-B4,W66,O=C(O1)ON=C1C2=CC=C(C(OC)=O)C=C2,OC1=C(C(C)C)C=CC=C1,O=C(NC1=CC=C(C(OC)=O)C=C1)OC2=C(C(C)C)C=CC=C2,35,34.987854
A7-B4,W67,O=C(O1)ON=C1C2=CC(C)=CC(C)=C2,OC1=C(C(C)C)C=CC=C1,O=C(NC1=CC(C)=CC(C)=C1)OC2=C(C(C)C)C=CC=C2,49,48.56652832
A8-B4,W68,O=C(O1)ON=C1C2=CC=C3C(OCCO3)=C2,OC1=C(C(C)C)C=CC=C1,O=C(NC1=CC=C2C(OCCO2)=C1)OC3=C(C(C)C)C=CC=C3,52,52.35308838
A9-B4,W69,O=C(O1)ON=C1CC2=CC=CC=C2,OC1=C(C(C)C)C=CC=C1,O=C(NCC1=CC=CC=C1)OC2=C(C(C)C)C=CC=C2,39,39.23713303
A10-B4,W70,O=C(O1)ON=C1CC2=CC=C(F)C=C2,OC1=C(C(C)C)C=CC=C1,O=C(NCC1=CC=C(F)C=C1)OC2=C(C(C)C)C=CC=C2,46,45.76044083
A11-B4,W71,O=C(O1)ON=C1CC2=CC=CC=C2Cl,OC1=C(C(C)C)C=CC=C1,O=C(NCC1=C(Cl)C=CC=C1)OC2=C(C(C)C)C=CC=C2,22,22.41723633
A12-B4,W72,O=C(O1)ON=C1CC2=CC(Br)=CC=C2,OC1=C(C(C)C)C=CC=C1,O=C(NCC1=CC(Br)=CC=C1)OC2=C(C(C)C)C=CC=C2,42,42.04640579
A13-B4,W73,O=C(O1)ON=C1CC2=CC=CC=C2I,OC1=C(C(C)C)C=CC=C1,O=C(NCC1=C(I)C=CC=C1)OC2=C(C(C)C)C=CC=C2,29,34.71681976
A14-B4,W74,O=C(O1)ON=C1CC2=CC=C(C=CC=C3)C3=C2,OC1=C(C(C)C)C=CC=C1,O=C(NCC1=CC(C=CC=C2)=C2C=C1)OC3=C(C(C)C)C=CC=C3,31,39.42166519
A15-B4,W75,O=C(O1)ON=C1CC2=CC=CO2,OC1=C(C(C)C)C=CC=C1,O=C(NCC1=CC=CO1)OC2=C(C(C)C)C=CC=C2,26,26.05230522
A16-B4,W76,O=C(O1)ON=C1CCC2=CC=CC=C2,OC1=C(C(C)C)C=CC=C1,O=C(NCCC1=CC=CC=C1)OC2=C(C(C)C)C=CC=C2,51,51.1479187
