Base,equiv(Base),Reactant1,equiv(Reactant1),Reactant2,equiv(Reactant2),Product,yield,solvent,DielectricConstant,time,T,Additive1,equiv(Additive1),Additive2,equiv(Additive2),MS,MWI,doi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,NC12CC3CC(CC(C3)C1)C2,0.833333333,CN1C=C(S(=O)(=O)F)C=N1,1,CN1C=C(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)C=N1,91,CS(=O)C,46.8,24,60,C1=CC=C2C(=C1)N=NN2O,0.041666667,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,CC(N)CCC1=CC=CC=C1,0.5,O=S(=O)(F)OC1=CC=CC=C1,1,CC(CCC1=CC=CC=C1)NS(=O)(=O)OC1=CC=CC=C1,91,CN1CCCC1=O,32.2,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,CC(C)(C)N,0.5,COC1=CC=C(OS(=O)(=O)F)C=C1,1,COC1=CC=C(OS(=O)(=O)NC(C)(C)C)C=C1,91,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,CC(C)(C)N,0.5,CN(C)C1=CC=C(OS(=O)(=O)F)C=C1,1,CN(C)C1=CC=C(OS(=O)(=O)NC(C)(C)C)C=C1,91,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,N[C@H]1CCCC2=CC=CC=C21,0.5,O=S(=O)(F)OC1=CC=C2OCOC2=C1,1,O=S(=O)(N[C@H]1CCCC2=CC=CC=C21)OC1=CC=C2OCOC2=C1,90,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,CC[C@@H](N)C1=CC=CC=C1,0.5,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS(=O)(=O)F)C=C3CC[C@@]21[H],1,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS(=O)(=O)N[C@H](CC)C4=CC=CC=C4)C=C3CC[C@@]21[H],90,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1,N[C@H]1CCCC[C@@H]1N,0.5,C=CCC1(S(=O)(=O)F)CC1,1,C=CCC1(S(=O)(=O)N[C@H]2CCCC[C@@H]2N)CC1,90,CS(=O)C,46.8,24,60,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,C[C@@H](N)C1CCCCC1,0.5,CCN(CC)C1=CC(OS(=O)(=O)F)=CC=C1,1,CCN(CC)C1=CC(OS(=O)(=O)N[C@H](C)C2CCCCC2)=CC=C1,90,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,C[C@H](N)C1=CC=CC=C1,0.5,O=S(=O)(F)OC1=CC=CC=C1,1,C[C@H](NS(=O)(=O)OC1=CC=CC=C1)C1=CC=CC=C1,90,CN1CCCC1=O,32.2,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NC12CC3CC(CC(C3)C1)C2,2,O=S(=O)(F)C1=CC=CC=C1,1,O=S(=O)(NC12CC3CC(CC(C3)C1)C2)C1=CC=CC=C1,90,CS(=O)C,46.8,24,60,C1=CC=C2C(=C1)N=NN2O,0.0002,C[Si](O[Si]([H])(C)C)([H])C,2,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,C=CC1=CC=C(CN)C=C1,0.833333333,CC1=CC(C)=C(S(=O)(=O)F)C(C)=C1,1,C=CC1=CC=C(CNS(=O)(=O)C2=C(C)C=C(C)C=C2C)C=C1,90,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,COC1=CC=C([C@H](C)N)C=C1,0.5,O=S(=O)(F)OC1=CC=C(C2=CC=CC=C2)C=C1,1,COC1=CC=C([C@H](C)NS(=O)(=O)OC2=CC=C(C3=CC=CC=C3)C=C2)C=C1,90,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,NC12CC3CC(C1)CC(O)(C3)C2,0.5,COC1=CC=C(OS(=O)(=O)F)C=C1,1,COC1=CC=C(OS(=O)(=O)NC23CC4CC(CC(O)(C4)C2)C3)C=C1,90,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,NCC1=CC(N)=CC=C1,0.833333333,CC1=CC(C)=C(S(=O)(=O)F)C(C)=C1,1,CC1=CC(C)=C(S(=O)(=O)NCC2=CC(N)=CC=C2)C(C)=C1,89,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,NC12CC3CC(CC(C3)C1)C2,0.5,CN(C)C1=CC=C(OS(=O)(=O)F)C=C1,1,CN(C)C1=CC=C(OS(=O)(=O)NC23CC4CC(CC(C4)C2)C3)C=C1,88,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,NC12CC3CC(C1)CC(O)(C3)C2,0.5,CC1=CC(C)=CC(OS(=O)(=O)F)=C1,1,CC1=CC(C)=CC(OS(=O)(=O)NC23CC4CC(CC(O)(C4)C2)C3)=C1,87,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC(C)(C)N,3,CC1=CC(S(=O)(=O)F)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,1,CC1=CC(S(=O)(=O)NC(C)(C)C)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,0,CS(=O)C,46.8,24,40,SC1=CC=C([N+]([O-])=O)C=C1,1,,,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC(C)(C)N,10,CC1=CC(S(=O)(=O)F)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,1,CC1=CC(S(=O)(=O)NC(C)(C)C)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,0,CN(C=O)C,37.2,24,80,,,,,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)CC,20,CC(C)(C)N,10,CC1=CC(S(=O)(=O)F)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,1,CC1=CC(S(=O)(=O)NC(C)(C)C)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,0,CN(C=O)C,37.2,24,80,,,,,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C([O-])[O-].[Cs+].[Cs+],2.5,CC(C)(C)N,1.1,CC1=CC(S(=O)(=O)F)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,1,CC1=CC(S(=O)(=O)NC(C)(C)C)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,0,CC#N,35.7,24,25,,,,,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
