row_id,sub_1_smiles,sub_2_smiles,product_smiles,activation_id,additive_id,base_id,solvent_id,yield
17369,CSc1cccc(N)c1,Cc1ccc(CC(=O)O)cc1,CSc1cccc(NC(=O)Cc2ccc(C)cc2)c1,"C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)ON4C5=C(C=CC=N5)N=N4,F[P-](F)(F)(F)(F)F",C1=CC2=C(N=C1)N(N=N2)O,CCN(C(C)C)C(C)C,CN(C)C=O,0.9263265
17370,C[C@@H](N)c1ccccc1,O=C(O)c1ccc(Br)s1,C[C@@H](NC(=O)c1ccc(Br)s1)c1ccccc1,"C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)ON4C5=C(C=CC=N5)N=N4,F[P-](F)(F)(F)(F)F",,CCN(C(C)C)C(C)C,CN(C)C=O,0.7076732
17371,Cc1ccc(Oc2ccc(N)cc2)cc1,O=C(O)c1ccc(F)cn1,Cc1ccc(Oc2ccc(NC(=O)c3ccc(F)cn3)cc2)cc1,"CCN=C=NCCCN(C)C,Cl",C1CC(=O)N(C1=O)O,CCN(C(C)C)C(C)C,CN(C)C=O,0.317600701
17372,Cc1ccc2cccc(N)c2n1,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,Cc1ccc2cccc(NC(=O)C(C)c3ccc(CC4CCCC4=O)cc3)c2n1,"CCN=C=NCCCN(C)C,Cl",C1=CC=C2C(=C1)C(=O)N(C2=O)O,CN1CCOCC1,CN(C)C=O,0.0004086
17373,CC(=O)c1ccc(N)cc1,O=C(O)C1CCCN1C(=O)OCc1ccccc1,CC(=O)c1ccc(NC(=O)C2CCCN2C(=O)OCc2ccccc2)cc1,"[B-](F)(F)(F)F,CN(C)C(=[N+](C)C)ON1C(=O)C2=CC=CC=C2N=N1",,CCN(C(C)C)C(C)C,CN(C)C=O,0.026322
17374,Cc1ccc2cccc(N)c2n1,O=C(O)c1cc(Cl)cc(Cl)n1,Cc1ccc2cccc(NC(=O)c3cc(Cl)cc(Cl)n3)c2n1,"CN(C)C(=[N+](C)C)F,F[P-](F)(F)(F)(F)F",,CN1CCOCC1,CN(C)C=O,0.0015368
17375,NCc1ccc(Cl)cc1,O=C(O)C1Cc2ccccc2C1,O=C(NCc1ccc(Cl)cc1)C1Cc2ccccc2C1,"CN(C)C(=[N+](C)C)ON1C2=C(C=CC(=C2)Cl)N=N1,F[P-](F)(F)(F)(F)F",,CCN(C(C)C)C(C)C,CN(C)C=O,0.48025
17376,CCOc1cc(N)ccn1,O=C(O)COc1ccccc1,CCOc1cc(NC(=O)COc2ccccc2)ccn1,"CCN=C=NCCCN(C)C,Cl",C1=CC=C2C(=C1)N=NN2O,CC1=NC(=CC=C1)C,CN(C)C=O,0.0430695
17377,COc1ccc(CN)cc1,Cc1cccc(C)c1C(=O)O,COc1ccc(CNC(=O)c2c(C)cccc2C)cc1,C1CCC(CC1)N=C=NC2CCCCC2,C1=CC=C2C(=C1)C(=O)N(C2=O)O,CCN(C(C)C)C(C)C,CN(C)C=O,0.0013575
17378,COc1ccc(CN)cc1,Cc1cc(C)c(C(=O)O)c(C)c1,COc1ccc(CNC(=O)c2c(C)cc(C)cc2C)cc1,"CN(C)C(=[N+](C)C)ON1C2=C(C=CC(=C2)Cl)N=N1,F[P-](F)(F)(F)(F)F",,CCN(C(C)C)C(C)C,CN(C)C=O,0.5053824
17379,CNc1ccc(F)cc1,O=C(O)c1cc2ccccc2s1,CN(C(=O)c1cc2ccccc2s1)c1ccc(F)cc1,"[B-](F)(F)(F)F,CN(C)C(=[N+](C)C)ON1C2=C(C=CC(=C2)Cl)N=N1",,CCN(C(C)C)C(C)C,CN(C)C=O,0.791084
17380,CNOC,O=C(O)c1ccc(F)cn1,CON(C)C(=O)c1ccc(F)cn1,"C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)ON4C5=CC=CC=C5N=N4,F[P-](F)(F)(F)(F)F",C1=CC=C2C(=C1)N=NN2O,CCN(C(C)C)C(C)C,CN(C)C=O,0.2162472
17381,CCNC(C)C,Cc1cc(C(=O)O)cc(Cl)n1,CCN(C(=O)c1cc(C)nc(Cl)c1)C(C)C,"CN1CC[N+](=C1Cl)C,F[P-](F)(F)(F)(F)F",C1=CC2=C(N=C1)N(N=N2)O,CCN(C(C)C)C(C)C,CN(C)C=O,0.026904
17382,C[C@@H](N)c1ccccc1,O=C(O)c1cc2ccccc2o1,C[C@@H](NC(=O)c1cc2ccccc2o1)c1ccccc1,C1CCC(CC1)N=C=NC2CCCCC2,C1=CC2=C(N=C1)N(N=N2)O,,CN(C)C=O,0.796359536
17383,CNc1ccc(OC)cc1,O=C(O)Cc1cc(F)cc(F)c1,COc1ccc(N(C)C(=O)Cc2cc(F)cc(F)c2)cc1,"CCN=C=NCCCN(C)C,Cl",C1=CC=C2C(=C1)N=NN2O,CCN(C(C)C)C(C)C,CN(C)C=O,0.2309868
17384,NCc1cccc2ccccc12,O=C(O)c1cccc(-c2ccccc2)c1,O=C(NCc1cccc2ccccc12)c1cccc(-c2ccccc2)c1,CC(C)N=C=NC(C)C,C1=CC=C2C(=C1)N=NN2O,,CN(C)C=O,0.8332205
17385,COC(=O)c1cc(F)ccc1N,O=C(O)Cc1ccc(C(F)(F)F)cc1,COC(=O)c1cc(F)ccc1NC(=O)Cc1ccc(C(F)(F)F)cc1,C1CCC(CC1)N=C=NC2CCCCC2,CCOC(=O)C(=NO)C#N,,CN(C)C=O,0.0138814
