,CAS,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
995,000589-59-3,9,18,0,2,0,"158,24","15670179,83","14284265,93",,,
996,000589-62-8,8,18,0,1,0,"130,23","2175681,403","2105723,802",,,
997,000589-81-1,8,18,0,0,0,"114,23","120240972,7","125148767,5","173,15",,"121,205"
998,000589-82-2,7,16,0,1,0,"116,2","4619354,233","4613111,863",,,
999,000589-90-2,8,16,0,0,0,"112,22","107782923,1",116323347,"186,15",,"130,305"
1000,000589-92-4,7,12,0,1,0,"112,17","9040674,641","12596673,33","232,55",,"162,785"
1001,000589-93-5,7,9,1,0,0,"107,16","19332648,61","16640760,83","257,15",,"180,005"
1002,000589-98-0,8,18,0,1,0,"130,23","1790914,596","696777,7098","228,15",,"159,705"
1003,000590-01-2,7,14,0,2,0,"130,19","30896774,65","32530284,65","184,15",,"128,905"
1004,000590-18-1,4,8,0,0,0,"56,108",4824706700,5213455710,"134,25",,"93,975"
1005,000590-19-2,4,6,0,0,0,"54,092",3655661367,3603354607,"136,95",,"95,865"
1006,000590-35-2,7,16,0,0,0,"100,21","565042165,1","536520989,1","149,35",,"104,545"
1007,000590-36-3,6,14,0,1,0,"102,18","47205236,88",36172385,"170,15",,"119,105"
1008,000590-66-9,8,16,0,0,0,"112,22","136815542,9","115117923,8","239,85",,"167,895"
1009,000590-67-0,7,14,0,1,0,"114,19","6932260,162","6257438,377","298,15",,"208,705"
1010,000590-73-8,8,18,0,0,0,"114,23","208581279,2","199992638,3","152,05",,"106,435"
1011,000590-86-3,5,10,0,1,0,"86,135",231398220,238802963,"222,15",,"155,505"
1012,000591-21-9,8,16,0,0,0,"112,22","129275620,2","93420304,62",,,
1013,000591-22-0,7,9,1,0,0,"107,16","9995972,595","8176429,196","266,55",,"186,585"
1014,000591-23-1,7,14,0,1,0,"114,19","2937928,665","3159392,906",,,
1015,000591-24-2,7,12,0,1,0,"112,17","9040674,641","12898029,15",,,
1016,000591-48-0,7,12,0,0,0,"96,174","179103513,8","197345012,2",,,
1017,000591-49-1,7,12,0,0,0,"96,174","158134314,7","208193821,7","152,75",,"106,925"
1018,000591-76-4,7,16,0,0,0,"100,21","355169360,9","348711736,2","154,95",,"108,465"
1019,000591-78-6,6,12,0,1,0,"100,16","62423705,85","73186413,76","217,65",,"152,355"
1020,000591-87-7,5,8,0,2,0,"100,12","146372827,5","173279597,3",,,
1021,000591-93-5,5,8,0,0,0,"68,12",2736659570,2685941385,"124,35",,"87,045"
1022,000591-95-7,5,8,0,0,0,"68,12",1347435064,1353948655,"135,85",,"95,095"
1023,000592-13-2,8,18,0,0,0,"114,23","185882728,2","182201882,1","182,15",,"127,505"
1024,000592-27-8,8,18,0,0,0,"114,23","126989190,6","276063457,8","164,25",,"114,975"
1025,000592-41-6,6,12,0,0,0,"84,163",831742067,831742067,"133,45",,"93,415"
1026,000592-42-7,6,10,0,0,0,"82,147","974502929,7","948732701,9","132,45",,"92,715"
1027,000592-43-8,6,12,0,0,0,"84,163","677688971,1","782018356,4","175,15",,"122,605"
1028,000592-45-0,6,10,0,0,0,"82,147","760309974,6","763398871,8","183,15",,"128,205"
1029,000592-47-2,6,12,0,0,0,"84,163","745584437,6","723253971,3","183,15",,"128,205"
1030,000592-48-3,6,10,0,0,0,"82,147","571225340,8","556001490,4","184,15",,"128,905"
1031,000592-57-4,6,8,0,0,0,"80,131","418755439,2","407691375,5","184,15",,"128,905"
1032,000592-76-7,7,14,0,0,0,"98,19","312732003,6","295328704,9","153,45",,"107,415"
1033,000592-77-8,7,14,0,0,0,"98,19","255248380,7","246810417,7","181,65",,"127,155"
1034,000592-84-7,5,10,0,2,0,"102,13","158631551,8","158082653,7","181,65",,"127,155"
1035,000592-88-1,6,10,0,0,1,"114,21","56537796,15","41593560,97","188,15",,
1036,000592-99-4,8,16,0,0,0,"112,22","107517729,9","102460979,3","183,15",,"128,205"
1037,000593-08-8,13,26,0,1,0,"198,35","111025,9422","216298,1408","303,65",,"212,555"
1038,000593-45-3,8,38,0,0,0,"254,5","2461,11918","10528,08087","301,35",,"210,945"
1039,000593-49-7,27,56,0,0,0,"380,75","5,75029958","20,1219587","332,65",,"232,855"
1040,000593-77-1,1,5,1,1,0,"47,057","4218766,245","9383466,888","360,65",,"252,455"
1041,000594-11-6,4,8,0,0,0,"56,108",4770462652,5243591292,"95,85",,"67,095"
1042,000594-56-9,7,14,0,0,0,"98,19","588020546,4","553741321,8","163,25",,"114,275"
1043,000594-60-5,6,14,0,1,0,"102,18","17564739,3","41826035,46","259,15",,"181,405"
1044,000594-61-6,4,8,0,3,0,"104,11","48970,32097","50985,09989","355,65",,"248,955"
1045,000594-70-7,4,9,1,2,0,"103,12","66513534,86","57090784,09","299,38",,"209,566"
1046,000594-82-1,8,18,0,0,0,"114,23","127933941,1","35274775,16","373,85",,"261,695"
1047,000595-37-9,6,12,0,2,0,"116,16","923870,8466","4500749,192","259,15",,"181,405"
1048,000597-96-6,7,16,0,1,0,"116,2","12210076,87","12484741,17","302,65",,"211,855"
1049,000598-03-8,6,14,0,2,1,"150,24","33240,62337","69580,90661","302,65",,"211,855"
1050,000598-25-4,5,8,0,0,0,"68,12",1560370935,1573507896,"159,55",,"111,685"
1051,000598-53-8,4,10,0,1,0,"74,124",2408754301,2472947396,,,
1052,000598-61-8,5,10,0,0,0,"70,135",5582239896,1909842518,"111,65",,"78,155"
1053,000598-75-4,5,12,0,1,0,"88,151","43330662,03","50670828,82",,,
1054,000598-82-3,3,6,0,3,0,"90,079","393995,8297","138516,0507","289,95",,"202,965"
1055,000599-64-4,2,16,0,1,0,"212,29","179,0053579","88,29725566","348,15",,"243,705"
1056,000600-24-8,4,9,1,2,0,"103,12","43178369,71","36028164,72",,,
1057,000600-36-2,7,16,0,1,0,"116,2","18714627,02","15793197,58",,,
1058,000602-55-1,20,14,0,0,0,"254,33","0,683431952","2,009289939","429,15",,"300,405"
1059,000603-34-9,18,15,1,0,0,"245,33","5169,570768","73,30480355","400,15",,"280,105"
1060,000605-32-3,14,8,0,3,0,"224,22","0,000825233","0,016634841","579,15",,"405,405"
1061,000606-20-2,7,6,2,4,0,"182,14","5553,234398","7894,015741","339,15",,"237,405"
1062,000608-34-4,5,6,2,2,0,"126,12","4820,939752","106,4539439",,,
1063,000608-68-4,6,10,0,6,0,"178,14","6197,490093","6456,117964","331,15",,"231,805"
1064,000609-26-7,6,18,0,0,0,"114,23","116237245,4","109456739,4","158,25",,"110,775"
1065,000609-72-3,9,13,1,0,0,"135,21","6265187,526","3516176,673","213,15",,"149,205"
1066,000610-69-5,8,7,1,4,0,"181,15","21233,74643","35649,3174","313,65",,"219,555"
1067,000611-14-3,9,12,0,0,0,"120,2","16854400,58","12656944,5","192,35",,"134,645"
1068,000611-15-4,9,10,0,0,0,"118,18","11760195,67","10032996,31","204,65",,"143,255"
1069,000611-32-5,10,9,1,0,0,"143,19","192229,4971","105426,1053","193,15",,"135,205"
1070,000611-34-7,9,8,2,0,0,"144,18","132,5104597","1294,107999","343,15",,"240,205"
1071,000612-00-0,14,14,0,0,0,"182,27","114590,5511","78352,51356","255,25",,"178,675"
1072,000612-60-2,10,9,1,0,0,"143,19","68026,77159","103117,5044","251,15",,"175,805"
1073,000612-94-2,16,12,0,0,0,"204,27","384,2286722","317,2631037","376,65",,"263,655"
1074,000613-12-7,15,12,0,0,0,"192,26","55,17394581","26,65707494","482,15",,"337,505"
1075,000614-99-3,7,8,0,3,0,"140,14","2538922,795","2395778,78","307,65",,"215,355"
1076,000615-53-2,4,8,2,3,0,"132,12","8381996,917","492975,0729",,,
1077,000615-77-0,5,6,2,2,0,"126,12","3451,277544","1,003514885","510,15",,"357,105"
1078,000616-38-6,3,6,0,3,0,"90,079","268314308,1","272188882,9","276,15",,"193,305"
1079,000616-44-4,5,6,0,0,1,"98,168","116813050,3","100728183,3","204,15",,
1080,000616-45-5,4,7,1,1,0,"85,106","43408,69166","162382,3555","296,15",,"207,305"
1081,000617-29-8,7,16,0,1,0,"116,2","8402230,808","13920486,41",,,
1082,000617-50-5,7,14,0,2,0,"130,19","112030102,9","106335554,1",,,
1083,000617-78-7,7,16,0,0,0,"100,21","311580393,9","302432092,2","154,55",,"108,185"
1084,000617-84-5,5,11,1,1,0,"101,15","6565682,331","5924332,567",,,
1085,000618-45-1,9,12,0,1,0,"136,2","508645,5756","269326,0026","299,15",,"209,405"
1086,000618-85-9,7,6,2,4,0,"182,14","3966,595999","1890,25439","366,15",,"256,305"
1087,000619-99-8,8,18,0,0,0,"114,23","122878912,4","122081395,8",,,
1088,000620-14-4,9,12,0,0,0,"120,2","19631179,22","15239994,39","177,65",,"124,355"
1089,000620-17-7,8,10,0,1,0,"122,17","328262,5911","451032,8002","269,15",,"188,405"
1090,000620-79-1,13,16,0,3,0,"220,27","14680,33358","33977,86886",,,
1091,000621-36-3,9,10,0,2,0,"150,18","478671,4341","17677,74774","335,15",,"234,605"
1092,000621-82-9,9,8,0,2,0,"148,16","398,2201925","1282,26902","406,15",,"284,305"
1093,000622-08-2,9,12,0,2,0,"138,17","163593,1602","18077,0442",,,
1094,000622-45-7,8,14,0,2,0,"142,2","82528444,22","10316055,53","208,15",,"145,705"
1095,000622-78-6,8,7,1,0,1,"149,22","122999,4548","284646,7173",,,
1096,000622-96-8,9,12,0,0,0,"120,2","19372874,23","14787960,66","210,85",,"147,595"
1097,000622-97-9,9,10,0,0,0,"118,18","11493495,77","8699496,8","239,05",,"167,335"
1098,000623-37-0,6,14,0,1,0,"102,18","26396509,78","17290290,25",,,
1099,000623-42-7,5,10,0,2,0,"102,13","177184307,7","182234170,3","187,35",,"131,145"
1100,000623-73-4,4,6,2,2,0,"114,1","17177281,82","30980454,71","251,15",,"175,805"
1101,000624-24-8,6,12,0,2,0,"116,16",119528912,"69914550,56",,,
1102,000624-29-3,8,16,0,0,0,"112,22","108120441,6",116323347,"186,15",,"130,305"
1103,000624-48-6,6,8,0,4,0,"144,13","2324744,908","617607,2305","254,15",,"177,905"
1104,000624-54-4,8,16,0,2,0,"144,22","27896938,89","12941079,99","200,05",,"140,035"
1105,000624-64-6,4,8,0,0,0,"56,108",5288794665,5213455710,"167,65",,"117,355"
1106,000624-83-9,2,3,1,1,0,"57,052",1067445370,1349643571,"228,15",,"159,705"
1107,000624-89-5,3,8,0,0,1,"76,161","654331742,4","613474350,6","167,25",,
1108,000624-92-0,2,6,0,0,2,"94,198","145178166,9","123932581,5","188,15",,
1109,000624-95-3,6,14,0,1,0,"102,18","13431536,59","10977962,06","213,15",,"149,205"
1110,000625-04-7,6,13,1,1,0,"115,18","1237711,409","5971957,549",,,
1111,000625-22-9,8,18,0,4,1,"210,29","133349,951","10102,95391",,,
1112,000625-23-0,7,16,0,1,0,"116,2","12946676,59","12484741,17",,,
1113,000625-27-4,6,12,0,0,0,"84,163","714213296,6",718733634,"138,15",,"96,705"
1114,000625-44-5,5,12,0,0,0,"88,151",817612784,856281041,,,
1115,000625-45-6,3,6,0,3,0,"90,079","702266,6909","1467495,223","280,85",,"196,595"
1116,000625-55-8,4,8,0,2,0,"88,107",653511624,672453990,"193,15",,"135,205"
1117,000625-58-1,2,5,1,3,0,"91,067","313414951,3","315858570,3","178,55",,"124,985"
1118,000625-74-1,4,9,1,2,0,"103,12","38134426,65","34420754,29","196,3",,"137,41"
1119,000625-77-4,4,7,1,2,0,"101,11","53808,15818","170120,7425","352,15",,"246,505"
1120,000625-80-9,6,14,0,0,1,"118,24","122193005,1","99059963,57","195,05",,
1121,000625-84-3,6,9,1,0,0,"95,145","4115390,436","7617306,52","280,85",,"196,595"
1122,000626-67-5,6,13,1,0,0,"99,177","103135854,9","147572869,5",,,
1123,000626-93-7,6,14,0,1,0,"102,18","13656584,81","16137604,23",,,
1124,000627-05-4,4,9,1,2,0,"103,12","21007191,43","19344353,05","191,82",,"134,274"
1125,000627-12-3,4,9,1,2,0,"103,12","306516,5398","1053130,969","333,15",,"233,205"
1126,000627-13-4,3,7,1,3,0,"105,09","132536290,2","137305246,1","173,15",,"121,205"
1127,000627-19-0,5,8,0,0,0,"68,12",1595537006,1617419744,"183,15",,"128,205"
1128,000627-20-3,5,10,0,0,0,"70,135",1864639145,1909842518,"121,75",,"85,225"
1129,000627-21-4,5,8,0,0,0,"68,12","862867818,2","892874247,9","163,85",,"114,695"
1130,000627-59-8,7,16,0,1,0,"116,2","12665769,92","7990234,349",,,
1131,000627-90-7,13,26,0,2,0,"214,35","49519,21908","140496,389","258,15",,"180,705"
1132,000627-93-0,8,14,0,4,0,"174,2","565371,5039","6432762,888","283,45",,"198,415"
1133,000627-97-4,8,16,0,0,0,"112,22","107222401,2",101255556,,,
1134,000628-28-4,5,12,0,1,0,"88,151","657300097,2",672453990,"157,65",,"110,355"
1135,000628-29-5,5,12,0,0,1,"104,22","87312683,14","74994548,69","175,35",,
1136,000628-32-0,5,12,0,1,0,"88,151",855247821,880820015,"145,65",,"101,955"
1137,000628-36-4,2,4,2,2,0,"88,066","3,546958017","161,4836694","429,15",,"300,405"
1138,000628-41-1,6,8,0,0,0,"80,131","286778809,8","334074453,4","223,95",,"156,765"
1139,000628-55-7,8,18,0,1,0,"130,23","107559812,1","115430042,3",,,
1140,000628-63-7,7,14,0,2,0,"130,19","24485160,49","29102362,18","202,35",,"141,645"
1141,000628-71-7,7,12,0,0,0,"96,174","271271900,2",225758561,"192,15",,"134,505"
1142,000628-73-9,6,11,1,0,0,"97,161",14876753,"11066216,27","192,85",,"134,995"
1143,000628-81-9,6,14,0,1,0,"102,18","283231421,3","323849880,9","149,15",,"104,405"
1144,000628-87-5,4,5,3,0,0,"95,105","17432,89613","81796,58008","343,15",,"240,205"
1145,000628-96-6,2,4,2,6,0,"152,06","588935,3766","3181886,965","250,85",,"175,595"
1146,000628-97-7,18,36,2,0,0,"284,49","352,586311","4008,032424","297,15",,"208,005"
1147,000628-99-9,9,20,0,1,0,"144,26","523455,0617","844657,3165","237,65",,"166,355"
1148,000629-05-0,8,14,0,0,0,"110,2","80505055,14","85240646,61","193,85",,"135,695"
1149,000629-11-8,6,14,2,0,0,"118,18","3067,371753","7852,471688","318,15",,"222,705"
1150,000629-14-1,6,14,2,0,0,"118,18","206924898,5","118400549,7","199,15",,"139,405"
1151,000629-19-6,6,14,0,0,2,"150,31","4132879,836","4019871,403","187,55",,
1152,000629-20-9,6,8,0,0,0,"104,15","33579648,67","33536597,83","268,45",,"187,915"
1153,000629-45-8,8,18,0,0,2,"178,36","605380,7943","482772,0258",,,
1154,000629-50-5,13,28,0,0,0,"184,37","552514,3731","911945,7663","267,85",,"187,495"
1155,000629-59-4,14,30,0,0,0,"198,4","123598,9376","393172,4825","278,95",,"195,265"
1156,000629-62-9,15,32,0,0,0,"212,42","39131,0534","174549,5968","283,05",,"198,135"
1157,000629-73-2,16,32,0,0,0,"224,43","31823,17474","92335,42367","277,25",,"194,075"
1158,000629-76-5,15,32,0,1,0,"228,42","472,7433346","348,4534312","318,15",,"222,705"
1159,000629-78-7,7,36,0,0,0,"240,48","1472,338442","20922,70417","295,15",,"206,605"
1160,000629-92-5,19,40,0,0,0,"268,53","707,112062","9706,025244","305,25",,"213,675"
1161,000629-94-7,21,44,0,0,0,"296,58","1389,788472","2261,890694","313,65",,"219,555"
1162,000629-96-9,20,42,0,1,0,"298,56","0,725167581","8,01821739","339,25",,"237,475"
1163,000629-97-0,22,46,0,0,0,"310,61","21,35321249","1154,40805","317,55",,"222,285"
1164,000629-99-2,25,52,0,0,0,"352,69","28,60297253","182,4149838","327,15",,"229,005"
1165,000630-01-3,26,54,0,0,0,"366,72","9,23927889","103,5996738","329,55",,"230,685"
1166,000630-02-4,28,58,0,0,0,"394,77","0,033924055","32,86392859","337,65",,"236,355"
1167,000630-03-5,29,60,0,0,0,"408,8","0,009441047","20,98986347","336,85",,"235,795"
1168,000630-04-6,31,64,0,0,0,"436,86","0,000328478","8,000781803","341,05",,"238,735"
1169,000630-05-7,33,68,0,0,0,"464,91","0,001003773","1,732882075","345,15",,"241,605"
1170,000630-07-9,35,72,0,0,0,"492,96","0,000142707","1,321165446","348,15",,"243,705"
1171,000630-18-2,5,9,1,0,0,"83,134","153916409,5","128635884,9","288,15",,"201,705"
1172,000634-97-9,5,5,1,2,0,"111,1","13,45785141","800,422587","479,15",,"335,405"
1173,000635-11-0,18,30,0,0,0,"246,44","26476,26145","26343,88014","391,55",,"274,085"
1174,000637-78-5,6,12,0,2,0,"116,16","140640609,3","154810790,5",,,
1175,000637-92-3,6,4,0,1,0,"102,18","612914689,8","628757395,9","179,15",,"125,405"
1176,000638-04-0,8,16,0,0,0,"112,22","129583003,2","93420304,62","197,55",,"138,285"
1177,000638-53-9,13,26,0,2,0,"214,35","145,102828","7715,785298","317,65",,"222,355"
1178,000638-67-5,23,48,0,0,0,"324,64","303,0304987","617,219773","320,75",,"224,525"
1179,000638-68-6,30,62,0,0,0,"422,83","0,000619964","12,76263429","338,95",,"237,265"
1180,000644-35-9,9,12,0,1,0,"136,2","658677,7238","459610,6784","280,15",,"196,105"
1181,000644-49-5,7,14,0,2,0,"130,19","58743397,89","54846759,49",,,
1182,000644-64-4,10,16,4,3,0,"240,26","1252,7792","457,1998318","343,15",,"240,205"
1183,000645-49-8,14,12,0,0,0,"180,25","66448,95861","13367,28322","268,15",,"187,705"
1184,000645-56-7,9,12,0,1,0,"136,2","274449,0516","226146,0185","295,15",,"206,605"
1185,000645-62-5,8,14,0,1,0,"126,2","8672267,149","3139374,269",,,
1186,000646-04-8,5,10,0,0,0,"70,135",1906075570,1909842518,"132,95",,"93,065"
1187,000646-06-0,3,6,0,2,0,"74,08","314593952,1","414149000,2","178,15",,"124,705"
1188,000646-31-1,24,5,0,0,0,"338,67","64,15741666","266,4685037","327,15",,"229,005"
1189,000659-70-1,10,20,0,2,0,"172,27","8200752,916","5377694,632",,,
1190,000673-04-1,8,15,5,1,0,"197,24","25,44304149","1282,753342",,,
1191,000674-76-0,6,12,0,0,0,"84,163",1008035222,"985433535,9","132,35",,"92,645"
1192,000674-82-8,4,4,0,2,0,"84,075","48458016,08","53792014,11","266,65",,"186,655"
1193,000675-20-7,5,9,1,1,0,"99,134","23334,62701","76716,58195","312,65",,"218,855"
1194,000689-97-4,4,4,0,0,0,"52,076",3783307083,4197456083,,,
1195,000690-08-4,7,14,0,0,0,"98,19","584909047,6",501004053,"157,95",,"110,565"
1196,000691-37-2,6,12,0,0,0,"84,163",1227814023,1197889390,"119,55",,"83,685"
1197,000691-38-3,6,12,0,0,0,"84,163",1102962306,"985433535,9","138,35",,"96,845"
1198,000692-45-5,3,4,0,2,0,"72,064",1212741927,1003514885,,,
1199,000693-02-7,6,10,0,0,0,"82,147","586713953,7","600128592,8",,,
1200,000693-21-0,4,8,2,7,0,"196,12","62229,97711","309040,3948","261,85",,"183,295"
1201,000693-54-9,10,20,0,1,0,"156,27","2256552,39","2694766,805","287,15",,"201,005"
1202,000693-65-2,10,22,0,1,0,"158,29","7286676,134","7057107,574","204,15",,"142,905"
1203,000696-29-7,9,18,0,0,0,"126,24","32526087,19","28139099,82","183,75",,"128,625"
1204,000697-82-5,9,12,0,1,0,"136,2","27810,83723","52108,7266","366,65",,"256,655"
1205,000698-71-5,9,12,0,1,0,"136,2","64257,67128","102460,9793","324,75",,"227,325"
1206,000700-12-9,11,16,0,0,0,"148,25","277161,254","283532,7771","327,65",,"229,355"
1207,000700-38-9,7,7,1,3,0,"153,14","164669,431","10538,84358","326,15",,"228,305"
1208,000730-40-5,12,1,4,2,0,"242,24","0,003761566","1,049477029","488,15",,"341,705"
1209,000732-26-3,18,30,0,1,0,"262,44","9319,536403","2819,829471","404,15",,"282,905"
1210,000759-94-4,9,19,1,1,1,"189,32","244098,2153","38242,05373",,,
1211,000760-20-3,6,12,0,0,0,"84,163",1215970739,1184328378,"120,15",,"84,105"
1212,000760-21-4,6,12,0,0,0,"84,163","791059031,1","791059031,1","141,65",,"99,155"
1213,000763-29-1,6,12,0,0,0,"84,163","881465777,5","876945440,2","137,45",,"96,215"
1214,000763-32-6,5,10,0,1,0,"86,135","16450562,25","16938349,7",,,
1215,000764-99-8,8,14,0,3,0,"158,2","195558,4027","4837944,831",,,
1216,000776-35-2,14,12,0,0,0,"180,25","5811,862269","9880,165858","307,65",,"215,355"
1217,000779-02-2,15,12,0,0,0,"192,26","413,2879836","689,1577126","354,65",,"248,255"
1218,000816-79-5,7,14,0,0,0,"98,19",278547706,"267905325,2",,,
1219,000818-23-5,15,30,0,1,0,"226,41","4917,039971","47066,39794","316,15",,"221,305"
1220,000818-38-2,9,16,0,4,0,"188,23","1628828,214","563513,8605","249,05",,"174,335"
1221,000818-61-1,5,8,0,3,0,"116,12","326475,9816","786538,6938",,,
1222,000821-11-4,4,8,0,2,0,"88,107","33101,78444","25761,61764","298,15",,"208,705"
1223,000821-55-6,9,18,0,1,0,"142,24","4768310,111","4944065,131","265,65",,"185,955"
1224,000821-95-4,11,22,0,0,0,"154,3","4086460,277","6058005,399","223,95",,"156,765"
1225,000822-50-4,7,14,0,0,0,"98,19","337676731,7","232571355,1","155,55",,"108,885"
1226,000823-40-5,7,10,2,0,0,"122,17","16150,51948","16807,04467","379,15",,"265,405"
1227,000827-52-1,12,16,0,0,0,"160,26","343545,6364","396928,6676","280,45",,"196,315"
1228,000830-13-7,12,22,0,1,0,"168,33","43133,05871","49264,1429","332,15",,"232,505"
1229,000832-69-9,15,12,0,0,0,"192,26","154,9829938","253,1388899","396,15",,"277,305"
1230,000834-12-8,9,17,5,0,1,"227,33","33,47094532","525,2739593","361,15",,
1231,000841-06-5,11,21,5,1,1,"271,39","4,156288726","19,97935282",,,
1232,000868-77-9,6,10,0,3,0,"130,14","881465,7775","553364,627",,,
1233,000870-23-5,3,6,0,0,1,"74,145",2088266690,641134510,,,
1234,000871-83-0,10,22,0,0,0,"142,29","14411911,65","18263239,05","198,55",,"138,985"
1235,000872-05-9,10,20,0,0,0,"140,27","12581605,54","15745841,67","206,85",,"144,795"
1236,000872-50-4,5,9,1,1,0,"99,134","1838001,443","1736778,175","249,15",,"174,405"
1237,000872-55-9,6,8,0,0,1,"112,19","67624246,31","50326422,17",,,
1238,000872-93-5,5,10,0,2,1,"134,2","52359,17481","47881,13493","274,15",,"191,905"
1239,000874-14-6,6,8,2,2,0,"140,14","41587,10335","472,37525","393,15",,"275,205"
1240,000874-41-9,10,14,0,0,0,"134,22","6158927,311","4622260,164","210,25",,"147,175"
1241,000877-43-0,11,11,1,0,0,"157,22","36667,46956","45285,16978","333,15",,"233,205"
1242,000878-13-7,11,20,0,1,0,"168,28","446609,3273","228729,0684",,,
1243,000882-33-7,12,10,0,0,2,"218,34","2580,897356","6076,840138","335,15",,
1244,000886-50-0,10,19,5,0,1,"241,36","21,91771652","304,7729811","377,15",,
1245,000919-94-8,7,16,0,1,0,"116,2","312118529,3","248446349,3",,,
1246,000921-47-1,9,20,0,0,0,"128,26","62130960,2","57033741,74",,,
1247,000922-61-2,6,12,0,0,0,"84,163","709692959,3",705172622,,,
1248,000924-16-3,8,18,2,1,0,"158,25","398769,0906","126687,8348",,,
1249,000925-60-0,6,10,0,2,0,"114,15","88708391,1","80365139,93",,,
1250,000927-49-1,11,22,0,1,0,"170,3","457415,086","1280762,241","287,65",,"201,355"
1251,000928-45-0,4,9,1,3,0,"119,12","53151632,99","55969309,92",,,
1252,000929-06-6,4,11,1,2,0,"105,14","8701,649342","139000,3726",,,
1253,000930-55-2,4,8,2,1,0,"100,12","322881,2372","1420677,444",,,
1254,000930-90-5,8,16,0,0,0,"112,22","120542328,5",107885384,"167,25",,"117,075"
1255,000931-54-4,7,5,1,0,0,"103,12","13313792,56","171272352,3",,,
1256,000933-98-2,10,14,0,0,0,"134,22","4482366,487","3504552,948","223,65",,"156,555"
1257,000934-74-7,10,14,0,0,0,"134,22","7434555,74","5840921,581","188,85",,"132,195"
1258,000934-80-5,10,14,0,0,0,"134,22","5395280,897","4377085,678","206,25",,"144,375"
1259,000937-30-4,10,12,0,1,0,"148,21","7281854,44","665027,7215","252,55",,"176,785"
1260,000939-27-5,12,12,0,0,0,"156,23","265531,0718","148589,9453","265,75",,"186,025"
1261,000941-98-0,12,10,0,1,0,"170,21","3587,049104","17381,77327","307,15",,"215,005"
1262,000946-80-5,13,12,0,1,0,"184,24","62400,45841","28912,93852","313,15",,"219,205"
1263,000957-51-7,16,17,1,1,0,"239,32","0,385843078","55,94724637","408,15",,"285,705"
1264,000961-68-2,12,9,3,4,0,"259,22","0,04181312","3,986184127","432,15",,"302,505"
1265,000994-05-8,6,10,0,1,0,"102,18","396636998,2","396584260,9",,,
1266,000999-21-3,10,10,0,4,0,"196,2","71251,81701","855021,8042",,,
1267,001002-16-0,5,11,1,3,0,"133,15","36287007,84","20684310,19",,,
1268,001002-84-2,15,30,0,2,0,"242,41","5,664951306","1745,06546","325,45",,"227,815"
1269,001003-78-7,6,12,0,2,1,"148,23","60927,68946","42370,62848","270,15",,"189,105"
1270,001014-69-3,8,15,5,0,1,"213,31","11,43935935","528,4112887","358,15",,
1271,001014-70-6,8,15,5,0,1,"213,31","8,138221583","856,2326088","355,65",,
1272,001067-08-9,8,18,0,0,0,"114,23","141099100,6","124535293,2","182,25",,"127,575"
1273,001067-20-5,9,20,0,0,0,"128,26","50262706,94","41604323,68","240,05",,"168,035"
1274,001068-87-7,9,20,0,0,0,"128,26","69225737,25","63301942,82","150,75",,"105,525"
1275,001069-53-0,9,20,0,0,0,"128,26","80908010,92","79902343,49","145,25",,"101,675"
1276,001070-87-7,9,20,0,0,0,"128,26","137693779,9","117787075,3","206,65",,"144,655"
1277,001071-26-7,9,20,0,0,0,"128,26","74185193,05","75080650,35","160,15",,"112,105"
1278,001071-81-4,10,22,0,0,0,"142,29","66809832,21","68162381,71","260,55",,"182,385"
1279,001074-17-5,10,14,0,0,0,"134,22","7166306,008","5458737,823","212,85",,"148,995"
1280,001074-43-7,10,14,0,0,0,"134,22","19181298,03","6316848,524","190,65",,"133,455"
1281,001074-55-1,10,14,0,0,0,"134,22","7960959,784","5898609,695","209,55",,"146,685"
1282,001077-16-3,12,18,0,0,0,"162,28","1051365,884","834292,8287","212,15",,"148,505"
1283,001078-71-3,13,20,0,0,0,"176,3","293606,6717","438515,7709","225,15",,"157,605"
1284,001081-77-2,15,24,0,0,0,"204,36","62684,16339","59939,67287","249,15",,"174,405"
1285,001114-71-2,10,21,1,1,1,"203,35","966787,1444","3561272,419",,,
1286,001117-97-1,2,7,1,1,0,"61,084",1244115220,1230984717,,,
1287,001119-40-0,7,12,0,4,0,"160,17","1549829,938","1532609,606","230,65",,"161,455"
1288,001119-85-3,6,6,2,0,0,"106,13","39587,39222","52193,75199","349,15",,"244,405"
1289,001120-21-4,11,24,0,0,0,"156,31","3457864,321","5280399,753","247,55",,"173,285"
1290,001120-36-1,14,28,0,0,0,"196,38","157895,3826","1096935,19","261,15",,"182,805"
1291,001123-85-9,9,12,0,1,0,"136,2","139054,1861","73918,2779","260,15",,"182,105"
1292,001126-79-0,10,14,0,1,0,"150,22","2389321,155","1759702,743","253,75",,"177,625"
1293,001127-76-0,12,12,0,0,0,"156,23","211467,8375","144392,4893","259,25",,"181,475"
1294,001129-41-5,9,11,1,2,0,"165,19","9589,572744","77160,54365","349,65",,"244,755"
1295,001132-21-4,9,10,0,4,0,"182,18","1,351580859","196,8606903","458,65",,"321,055"
1296,001134-23-2,11,21,1,1,1,"215,36","23139,822","6733,688201","284,65",,"199,255"
1297,001186-53-4,9,20,0,0,0,"128,26","86997120,55","74391837,05","152,15",,"106,505"
