,SMILES,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
342,CS(=O)(=O)C[CH](O)C1=CC=CC=C1,9,12,0,3,1,"200,258",,"25,32499073",,"374,89","262,423"
343,CCCOS(=O)(=O)C1=CC=CC=C1,9,12,0,3,1,"200,258",,"2866,573419",,"357,96","250,572"
344,CC1=CC(=C(C(=C1)C)S(O)(=O)=O)C,9,12,0,3,1,"200,258",,"4,623157882",,"391,79","274,253"
345,CCOS(=O)(=O)C1=CC=C(C)C=C1,9,12,0,3,1,"200,258",,"8826,028683","307,65","362,13","215,355"
346,CS(=O)(=O)OCCOC1=CC=CC=C1,9,12,0,4,1,"216,2574",,"1081,130824",,"370,8","259,56"
347,COC1=CC(=CC=C1O)[CH](C)S(O)(=O)=O,9,12,0,5,1,"232,2568",,"0,163731142",,"424,26","296,982"
348,CC(C)OC(=S)SC(=S)SC(=S)OC(C)C,9,14,0,2,5,"314,5384",,"7,041392643",,"422,99","296,093"
349,CCCCCOC(=S)SC(=O)OCC,9,16,0,3,2,"236,3556",,"3116,187199",,"356,13","249,291"
350,CCOC(=O)CSC[CH](C)C(=O)OC,9,16,0,4,1,"220,289",,"340225,0342",,"235,07","164,549"
351,CCCCCS[CH](CC(O)=O)C(O)=O,9,16,0,4,1,"220,289",,"30,94032541",,"408,98","286,286"
352,CCCCCS[CH](CC(O)=O)C(O)=O,9,16,0,4,1,"220,289",,"30,94032541",,,
353,CCCCCCSCCC(O)=O,9,18,0,2,1,"190,306",,"4004,246426",,"354,53","248,171"
354,CC(C)(C)C[C](C)(O)COC(S)=S,9,18,0,2,2,"222,372",,"320,7055342",,"356,53","249,571"
355,CCS(=O)(=O)C1(CCCC1)S(=O)(=O)CC,9,18,0,4,2,"254,3708",,"53,24862716",,"405,23","283,661"
356,CS(=O)(=O)OCC(COS(C)(=O)=O)(COS(C)(=O)=O)COS(C)(=O)=O,9,20,0,12,4,"448,5138",,"3,71696E-05",,"519,48","363,636"
357,OCCSCCCCCSCCO,9,20,0,2,2,"224,3878",,"2,620297079",,"375,72","263,004"
358,CCSC(SCC)[CH](O)[CH](O)[CH](O)CO,9,20,0,4,2,"256,3866",,"0,017798221",,"412,85","288,995"
359,CCSC(SCC)[CH](O)[CH](O)[CH](O)CO,9,20,0,4,2,"256,3866",,"0,017798221",,,
360,CCCCC(S(=O)(=O)CC)S(=O)(=O)CC,9,20,0,4,2,"256,3866",,"84,30010035",,"398,15","278,705"
