,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
44,8192,1,10,16,0.12756782192039018,0.052004184175143096,0.9880510812905401,0.3250488967740178,0.2183726131127255,0.9488534362062326,0.009999999999999998,0.00010000000000000002,-0.3442391137495234
43,8192,1,10,8,0.13882338739707872,0.05158819683893978,0.9881457920951755,0.325487778226103,0.21207898236433292,0.9503344240934822,0.0091,0.00010000000000000002,-0.3376564492223683
42,8192,1,10,4,0.07595077288164362,0.017097056220946948,0.9960716787923494,0.32631234724863056,0.21958010158317515,0.9485851948065115,0.0010000000000000002,0.00010000000000000002,-0.3404132317237262
46,8192,2,10,8,0.15312752829969156,0.06461950861666828,0.9851531430340652,0.3284111799612927,0.21890806259577564,0.9487519708655648,0.009999999999999998,0.00010000000000000002,-0.34409274314187915
22,4096,2,10,8,0.0584543818607308,0.025561367490483648,0.9941269734077943,0.3286366114289744,0.23366802935589534,0.9452649785036937,0.009999999999999998,0.0010000000000000002,-0.3419545859502853
14,4096,1,9,16,0.05187041840882047,0.03067223149364721,0.9929526699649969,0.328866362993646,0.23600795066960273,0.944723136578664,0.009999999999999998,0.0010000000000000002,-0.34174382208569376
47,8192,2,10,16,0.13208576517681264,0.05892494778208328,0.9864612929157734,0.33133760557485237,0.22850281810541467,0.9464893328066653,0.009999999999999998,0.00010000000000000002,-0.3512809989844823
17,4096,2,9,16,0.05474270978126535,0.03310107424850245,0.9923946734684345,0.33368821996533304,0.24654736540707164,0.9422552017257171,0.009999999999999998,0.0010000000000000002,-0.34983215066305157
45,8192,2,10,4,0.09116463419727654,0.028885624638137895,0.9933649748677869,0.33687332406481707,0.2308879463673458,0.945952797710144,0.0019000000000000006,0.00010000000000000002,-0.35045815659184937
20,4096,1,10,16,0.06790524051677584,0.060228555825477384,0.9861619133478507,0.3610430000697118,0.2907519643892843,0.9319160913550174,0.009999999999999998,0.0010000000000000002,-0.3728408054249377
23,4096,2,10,16,0.07093129315047138,0.0628461730928207,0.9855605147186827,0.36655938147879624,0.3018896839691749,0.9293045377197705,0.009999999999999998,0.0010000000000000002,-0.381526254258508
