,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
18,2048,1,8,4,0.10148866823421535,0.028390402585900216,0.9936019336701742,0.33776425272840804,0.2259458349001874,0.9482535739385757,0.009999999999999998,0.0010000000000000002,-0.35247104270179525
64,8192,1,6,8,0.11959451169955196,0.044976778769064626,0.989863355825913,0.33792839472212155,0.24488938934749313,0.9438073621315501,0.009999999999999998,0.0010000000000000002,-0.3518922348949548
38,4096,1,6,16,0.08555015684985579,0.031223776072193666,0.9929625920054171,0.33821868896413554,0.24774247962903337,0.9431785540288209,0.009999999999999998,0.0010000000000000002,-0.3540891671116346
37,4096,1,6,8,0.12497937414648792,0.04721105627953791,0.9893598084378598,0.3399363402584467,0.24625796551313534,0.9434908351506207,0.009999999999999998,0.0010000000000000002,-0.3549179228765166
65,8192,1,6,16,0.07897372095029571,0.02925511384042907,0.9934062425341992,0.34012342297860954,0.25327831907429144,0.9419052767656236,0.009999999999999998,0.0010000000000000002,-0.3561616807104802
67,8192,2,6,8,0.12341101225739068,0.049186071261456375,0.988914891663331,0.34170424001873023,0.25172040637137677,0.9422529441568711,0.009999999999999998,0.0010000000000000002,-0.3558480257156417
80,8192,3,8,16,0.1632738069387855,0.07600378457867525,0.9828734629578755,0.341732171906457,0.24432343485635027,0.9440955955147455,0.009999999999999998,0.00010000000000000002,-0.35869143700833117
19,2048,1,8,8,0.07784112174075282,0.022507499059633,0.9949281495606804,0.34207355887260305,0.23684048102935237,0.9457386152293239,0.009999999999999998,0.0010000000000000002,-0.35626745863428455
41,4096,2,6,16,0.08882749197021246,0.0345793517490413,0.9922064324719398,0.3435163749982305,0.2575136557260488,0.940937384241854,0.009999999999999998,0.0010000000000000002,-0.3594770051273696
68,8192,2,6,16,0.0823192439796078,0.03255538994796898,0.992662535996933,0.34410432721347683,0.2609797307701197,0.9401366377685137,0.009999999999999998,0.0010000000000000002,-0.3604934455015796
40,4096,2,6,8,0.12875149698326147,0.05160413018210366,0.9883699588971127,0.34521800786119045,0.2554444252592133,0.9413956682021052,0.009999999999999998,0.0010000000000000002,-0.3597745824958979
