,Average SHAP when zero,Average SHAP when one,ma_shap
"carbons involved in double bonds, where one carbon is bonded to two other atoms (including another carbon)",0.12564297899595755,-2.381795486941352,0.2993059298084556
non-aromatic C=C groups,0.07838221493479902,-0.5570055347580607,0.2973685065426267
single bonds between nitrogen and oxygen,-0.13113406486579599,3.139957145330845,0.27525710254075614
nitrogens double-bonded to a carbon,0.12479153909127705,-9.809486462865648,0.26622970915000715
Does the molecule contain no sulfur atoms,0.017859447094846565,0.0,0.2642930777932699
methyl groups separated by three bonds from a methine group,-0.006633257729312652,-0.05083006635778225,0.2635243723190879
nitrogen atoms involved in double bonds,0.1181870836984208,-2.027277090064599,0.24588274410607644
diaminocarbinol groups,-0.10343885177397837,6.428610374863292,0.22814285818432817
primary amide groups,-0.1039934212097919,18.155414976825973,0.22142458392149617
nitrogen-nitrogen bonds,-0.10089152516260319,4.022300432483887,0.22070790696205317
hydroxyl groups in an alkyl group,-0.07706798936157443,0.5614234519108338,0.21504460453099947
heteroatoms bonded to a hydrogen atom and separated by three atoms from a methylene group,-0.05974123217435754,0.4076287886587296,0.2043986548441685
pairs nitrogens that 2 atoms apart,-0.08627453392414411,1.7146460640584296,0.1860978184783075
primary amines,-0.07873246360068,1.447412441456136,0.17446115670783102
aromatic amines,0.055121769885913635,-0.8571969405775104,0.1662255501720818
aldehyde groups,0.0724453686391663,-4.688345700876884,0.16566940780747808
"heteroatoms, each bonded to hydrogen, connected by a two-atom chain",-0.06619708212656944,1.3775194855831623,0.16504544241877625
aromatic ether groups,0.07516094009826481,-1.1097973944277175,0.16208959416751978
secondary amide groups,0.027901301088771046,-0.34576490580094976,0.1510421163321434
hydroxylamine groups,0.04734242104299508,-0.5420964411495325,0.1410151430649632
three-membered rings,0.05941067508454659,-7.131189456573452,0.13238654723197726
disulfide bonds,0.04926504513639147,-4.9383998654288,0.11738604197566084
aliphatic carbons bonded to two heteroatoms,-0.0443958731454874,2.4392316910818277,0.1073143012734589
"heteroatoms, each bonded to hydrogen, separated by one atom",-0.040730186039469506,6.362176244778097,0.10090595109793776
diaminoethyl groups,-0.038496136573336316,7.217389650182472,0.09457891676971458
alicyclic ether groups,-0.0037987448421819563,0.014223385064249642,0.09253308506902426
ether groups,-0.012211057532341484,0.36042103941947706,0.0910357579106592
nitrogen and oxygen atom pairs separated by exactly two atoms,-0.005265347902011639,0.3310987830414191,0.08591006879642002
tertiary amide groups,0.0038025622622555985,0.27136372483008064,0.06974448058063308
sets 2 triple-bonded carbons,-0.022086462352228574,2.7923215232041905,0.06671392702316283
organosulfate groups,0.023351563447486044,-3.9805886889519058,0.06536585162402327
methanetriamine groups,0.02043280075822772,-2.593228169342609,0.06468815915205209
tertiary amines,-0.0020582169540610453,-0.09705797452701663,0.05390075757292048
seven-membered rings,-0.017065061635162568,4.120130951256844,0.053549265523065145
secondary amines,0.013017349157061472,-1.1264304865587635,0.0525240276555116
non-aromatic rings with C=C-C=O,0.0006741145124958449,-0.09307155173445582,0.04285269239374454
aminomethanediol groups,-0.0011673648738034842,0.3025591186306185,0.042690717331800944
nitrate groups,0.01859887599669003,0.0,0.04262529007278649
double-bonded carbons that have three ring bonds,-0.01476731719140929,2.190144669617558,0.042178693296794655
nitrophenol groups,0.013400821646284426,-5.51002734322676,0.03959777968086493
bonds between nitrogen and sulfur,0.011741493258151619,-1.7617757990645013,0.03920059440232433
fragments,0.0,-0.004622185831605596,0.028217483425815055
four-membered rings,-0.002961029450965908,1.7167221020422687,0.024988417147427784
aminothiomethane groups,0.005018244721713223,-1.7811189731629544,0.023904643782078416
halogen atoms,-0.002340469638356766,2.3975725636066434,0.019476912187092774
chlorine atoms,-0.004518587416616079,2.412906124259208,0.018959403511565824
heteroatoms at a 2 bond distance from a ring,-0.0026380149208718065,1.501448734253589,0.01833051484840064
hydroxylamine-derivatives,-0.0059843222547393635,8.134600566470594,0.016664418142734748
heteroatoms each bonded to hydrogen and bonded to another heteroatom,0.0008207160229337675,-0.598025592834297,0.015388802811385207
methanetriols,-0.0031901704623700207,5.819205862625009,0.009256487728589028
hydroperoxide groups,0.0016988808749938144,-1.693401435928995,0.0092200188424551
heteroatoms at a 3 bond distance from a ring fragment,-0.0006376583388417237,3.9864940594561222,0.006605839593730977
"atoms other than H, C, N, O, Si, P, S, F, Cl, Br, and I",0.0005761935819749724,2.5063104931993863,0.005571792212797885
alkali metals,0.00030399465560074457,2.6089498059351115,0.005404571675300201
peroxide groups,-0.0025513139334852066,-0.016850972715711343,0.004237178064446858
"sets double-bonded carbons there, with one carbon bonded to two heteroatoms",0.00041560534306881504,0.0,0.002562276865613425
carbonylperoxyacid groups,-0.00023728053020086916,0.0,0.00211250104291246
