,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
54,8192,1,10,6,9.20071320655711,234.95429143181158,0.9590619525618223,23.3186908557905,1036.021205879528,0.8178547960614126,0.009999999999999998,0.00010000000000000002,-24.515424723704633
19,4096,1,10,8,9.838408310072639,252.28535818267602,0.9560437157272108,23.339333033459226,1046.4072724955968,0.8163608690346216,0.09999999999999994,0.0010000000000000002,-24.53046239620175
24,4096,1,11,6,10.455189334831276,290.3883254690951,0.9494039039999631,23.34095555821738,1051.9708181286494,0.8153627998601489,0.09999999999999994,0.0010000000000000002,-24.515065623365075
5,4096,2,7,12,9.487013579738932,233.23049973685352,0.9593283739095748,23.345008503745383,1004.5084949368971,0.8235197569270383,0.09099999999999994,0.0010000000000000002,-24.309617650408814
30,4096,1,12,6,11.002490805546051,342.0966472472799,0.9403943241710015,23.3570594487199,1069.4351575608307,0.8123346866134582,0.09999999999999994,0.0010000000000000002,-24.696718666646074
11,4096,2,8,12,8.181411169869143,193.2275678997549,0.9662747540532303,23.36727499280884,1016.789816608147,0.821301614069414,0.08199999999999996,0.0010000000000000002,-24.40733632530634
4,4096,2,7,8,11.175144654955057,295.072249457029,0.9485861075172298,23.39219975056603,1008.9348073436164,0.8229117151918726,0.09999999999999994,0.0010000000000000002,-24.335921095285503
21,4096,2,10,6,10.239101869639953,268.1226590506252,0.9532829530461759,23.4039124327592,1033.0238169517984,0.8187006420105704,0.09999999999999994,0.0010000000000000002,-24.70369193691989
47,8192,2,8,12,8.975737518212979,223.68860377853838,0.9610238788850876,23.405009748802332,1028.6792344413002,0.8195360438647874,0.009999999999999998,0.00010000000000000002,-24.531156163901546
43,8192,1,8,8,9.867603226079403,250.20045688862697,0.9564047513137333,23.43348951074381,1025.3126245733529,0.8202317223951473,0.009999999999999998,0.00010000000000000002,-24.379128421638804
49,8192,1,9,8,8.971927423348355,218.99062844715968,0.9618429138093768,23.439810377208847,1042.0183378196475,0.8171203826368597,0.009999999999999998,0.00010000000000000002,-24.2381999596385
