official_source,source_folder,dataset_id,source_dataset,descriptor,model,split,metric,mean,std,splits,outer_splits,seed,descriptors_npz,relative_json_path
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,test,kendall_tau,0.4817051582235913,0.03874786224449629,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,train,mae,8.07234444041592,0.19203247322349554,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,train,rmse,14.354027410152957,0.3988482811371602,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,train,r2,0.9626850983814883,0.0034506324334897093,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,train,medae,3.4112063509571486,0.1502439094437024,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,train,kendall_tau,0.6939645567834026,0.007262694714165406,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,test,mae,18.42531887194204,1.809814660835293,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,test,rmse,34.68712752455971,5.419837238067015,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,test,r2,0.7735727663222332,0.05374318467667124,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,test,medae,8.050585126758731,1.0595547342409768,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
