dataset,descriptor,bucket,rows,mae,rmse,prediction_file,status
SLAP,OHE,20-40,555,22.474367163826155,37.0355084306589,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_oof_predictions_RF.npz,official_oof_predictions
SLAP,OHE,40-60,415,34.7330315661218,46.79441176392728,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_oof_predictions_RF.npz,official_oof_predictions
SLAP,OHE,60-80,165,53.35540018705697,64.49839598259527,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_oof_predictions_RF.npz,official_oof_predictions
SLAP,OHE,80-100,90,79.07505621642304,104.20648390111995,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_oof_predictions_RF.npz,official_oof_predictions
SLAP,OHE,>100,435,97.43154712851688,125.91754908730617,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_oof_predictions_RF.npz,official_oof_predictions
SLAP,MFP,<20,4090,9.020705404819395,19.182252920314678,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_oof_predictions_RF.npz,official_oof_predictions
SLAP,MFP,20-40,555,17.271687084346222,24.723310222365104,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_oof_predictions_RF.npz,official_oof_predictions
SLAP,MFP,40-60,415,28.851681801298472,34.81845040717875,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_oof_predictions_RF.npz,official_oof_predictions
SLAP,MFP,60-80,165,44.45907479823564,52.310779905978265,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_oof_predictions_RF.npz,official_oof_predictions
SLAP,MFP,80-100,90,62.947649520510254,78.21801415434516,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_oof_predictions_RF.npz,official_oof_predictions
SLAP,MFP,>100,435,74.24020005908642,94.59979950466679,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_oof_predictions_RF.npz,official_oof_predictions
SLAP,PhysChem,<20,4090,10.421734996682822,19.732701043141184,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_oof_predictions_RF.npz,official_oof_predictions
SLAP,PhysChem,20-40,555,16.562639869024476,23.283598238479122,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_oof_predictions_RF.npz,official_oof_predictions
SLAP,PhysChem,40-60,415,26.678028706590823,32.47974354628155,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_oof_predictions_RF.npz,official_oof_predictions
SLAP,PhysChem,60-80,165,40.99490282552851,47.72346643992887,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_oof_predictions_RF.npz,official_oof_predictions
SLAP,PhysChem,80-100,90,54.90159331805249,66.11360376560998,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_oof_predictions_RF.npz,official_oof_predictions
SLAP,PhysChem,>100,435,72.07296085483513,95.73506578819013,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_oof_predictions_RF.npz,official_oof_predictions
