P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1167,1948.75119,1025.99135,13.392,7.896,15.68,6.979,7.106,0.119767,0.319692,0.022434,3.128014,0.111526,-1.382,-0.81,-1.9325,2.5101,-0.223672,-6.086437,-0.019857,-0.540333,0.203816,5.546104
P_1168,2110.03971,1123.77242,12.396,7.398,14.575,10.242,8.06,0.10682,0.310135,0.018396,3.224404,0.133713,2.6817,-3.2668,-1.2411,4.405,-0.201485,-5.482683,-0.008754,-0.238199,0.192731,5.244484
P_1169,1284.60296,728.98665,8.105,5.253,10.577,8.19,6.823,0.113068,0.36184,0.017666,2.763656,0.114092,1.2458,-0.8101,1.8417,2.3665,-0.221104,-6.016541,-0.003023,-0.082252,0.218081,5.934289
P_1170,2186.89933,1184.37327,12.227,7.313,13.713,10.134,7.711,0.112334,0.359046,0.017573,2.785157,0.114672,-1.6327,0.7131,-2.1311,2.7777,-0.220526,-6.000809,-0.001901,-0.051723,0.218625,5.949086
P_1171,1964.69016,1036.90802,12.66,7.53,15.026,8.389,6.76,0.110628,0.359793,0.017008,2.77938,0.114859,1.6528,-1.9157,0.9136,2.6901,-0.220338,-5.995708,0.000133,0.003614,0.220471,5.999322
P_1172,3689.92593,1745.00985,13.81,8.105,15.652,12.071,9.174,0.121255,0.308394,0.023838,3.242604,0.114259,-1.467,2.9748,0.996,3.4631,-0.220938,-6.01202,-0.015779,-0.429374,0.205158,5.582646
P_1173,1783.91149,943.13697,8.82,5.61,10.63,10.025,7.614,0.110501,0.354999,0.017198,2.816911,0.117217,1.081,2.2326,-0.9338,2.6505,-0.217981,-5.931566,0.000388,0.010552,0.218369,5.942117
P_1174,2342.06411,1265.04631,13.617,8.008,15.949,10.089,7.893,0.11662,0.338975,0.020061,2.950071,0.114886,-0.3091,-1.1998,2.1939,2.5196,-0.220311,-5.994959,-0.002066,-0.056218,0.218245,5.938741
P_1175,2778.14829,1423.9872,15.317,8.859,17.525,10.337,8.656,0.127932,0.303535,0.02696,3.294508,0.122329,1.9954,0.6331,3.5247,4.0995,-0.212868,-5.792431,-0.037989,-1.033723,0.174879,4.758708
P_1176,2667.91339,1429.96092,17.191,9.796,19.311,10.609,7.425,0.125434,0.290313,0.027098,3.444555,0.113433,-1.7866,-3.8473,-4.1091,5.9058,-0.221765,-6.034529,-0.040111,-1.091485,0.181654,4.943044
P_1177,2671.41873,1413.56267,15.137,9.159,18.186,11.353,8.747,0.125434,0.290313,0.027098,3.444555,0.113433,-4.1981,-1.0556,-3.1307,5.3422,-0.223194,-6.073409,-0.034319,-0.933864,0.188875,5.139545
P_1178,2634.75208,1322.80976,11.109,6.89,13.722,11.256,8.398,0.10949,0.33858,0.017704,2.953508,0.111955,1.47,0.219,-0.1834,1.4975,-0.223242,-6.074729,-0.005519,-0.150174,0.217723,5.924556
P_1179,2397.98623,1296.57094,13.866,8.133,15.213,10.475,8.176,0.125392,0.303485,0.025904,3.295052,0.114863,1.0997,1.1878,-0.4216,1.6727,-0.220326,-5.995385,-0.036744,-0.999868,0.183582,4.995517
P_1180,2315.55618,1222.87052,11.229,6.815,13.188,11.438,8.188,0.117951,0.330015,0.021079,3.030161,0.111327,-1.1236,2.9063,0.5032,3.1563,-0.22387,-6.091825,-0.008851,-0.240847,0.215019,5.850978
P_1181,2043.93245,1066.3139,11.767,7.083,14.16,9.97,7.214,0.118212,0.32834,0.02128,3.045619,0.113607,1.4952,-1.8597,1.6472,2.8995,-0.221591,-6.029784,-0.008487,-0.230945,0.213103,5.798839
P_1182,2407.96825,1221.20106,13.269,7.835,15.595,9.721,8.276,0.143333,0.288735,0.035576,3.463383,0.100966,-1.5117,2.1698,-3.1682,4.1268,-0.234232,-6.373785,-0.062377,-1.697364,0.171855,4.676421
P_1183,2377.52895,1257.53062,12.057,7.228,14.045,13.529,8.052,0.11345,0.318105,0.020231,3.143616,0.121531,0.7723,-1.9355,-0.981,2.3033,-0.213666,-5.814144,-0.015517,-0.422252,0.198148,5.391892
P_1184,2207.33754,1157.20077,10.617,6.508,12.912,10.906,7.341,0.147396,0.325835,0.033338,3.06904,0.084401,2.9769,-3.3537,1.3655,4.6877,-0.250799,-6.824581,-0.049264,-1.34055,0.201534,5.484031
