P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1892,1809.70546,971.26379,11.381,6.89,13.45,8.425,7.416,0.111796,0.339632,0.0184,2.944366,0.111546,-0.2783,0.0982,-0.2022,0.3577,-0.223651,-6.085859,0.001404,0.038198,0.225055,6.124056
P_1893,1614.39269,878.62339,8.864,5.632,10.798,9.447,7.312,0.109656,0.339591,0.017704,2.944719,0.120811,0.7853,-0.6367,-0.6949,1.2267,-0.214386,-5.833748,0.002368,0.064424,0.216754,5.898172
P_1894,1555.81249,856.04549,8.846,5.623,10.765,8.763,7.312,0.142457,0.323883,0.031329,3.087533,0.092116,2.5593,3.9438,0.7106,4.7548,-0.243083,-6.614631,-0.045579,-1.240255,0.197505,5.374376
P_1895,1751.86844,955.37328,11.558,6.979,13.708,8.656,8.416,0.133942,0.319121,0.028109,3.133611,0.10034,-1.4837,-1.2966,0.7942,2.1244,-0.234858,-6.390808,-0.03983,-1.083831,0.195028,5.306977
P_1896,1707.19251,919.77193,10.818,6.609,12.729,8.195,8.372,0.105969,0.319479,0.017575,3.130098,0.132708,-0.6827,-1.3273,0.3847,1.5414,-0.202489,-5.510008,-0.002535,-0.068982,0.199954,5.441026
P_1897,1691.59815,916.63768,9.29,5.845,11.504,8.47,7.804,0.137328,0.309722,0.030445,3.228698,0.101789,-0.6053,2.3265,-1.3529,2.7585,-0.233409,-6.351375,-0.04899,-1.333077,0.184419,5.018298
P_1898,1483.21628,810.08089,8.871,5.635,11.033,8.455,7.208,0.11237,0.344097,0.018348,2.906153,0.117473,1.14,0.0073,-0.7582,1.3691,-0.217724,-5.924584,0.000788,0.021442,0.218512,5.946025
P_1899,2221.90175,1180.26783,13.992,8.196,16.317,8.356,7.953,0.107088,0.326966,0.017537,3.058422,0.122316,2.3099,0.818,3.842,4.5569,-0.212882,-5.792809,0.000492,0.013377,0.213373,5.806187
P_1900,1756.07307,936.56353,10.631,6.515,12.835,8.282,7.273,0.119135,0.294074,0.024132,3.400503,0.127716,0.1038,0.1656,-0.0926,0.2162,-0.207482,-5.645866,-0.033998,-0.925145,0.173483,4.720721
P_1901,1614.63602,874.3614,9.887,6.143,12.22,8.142,7.168,0.115475,0.324121,0.02057,3.085269,0.117959,0.0161,-0.3733,-0.564,0.6766,-0.217237,-5.911331,-0.014947,-0.406738,0.20229,5.504593
P_1902,1701.87828,910.52309,11.066,6.733,13.123,7.92,6.965,0.11885,0.31454,0.022454,3.179248,0.120401,0.3485,0.6909,0.2597,0.8162,-0.214795,-5.844864,-0.0208,-0.566007,0.193994,5.278857
P_1903,2568.0696,1325.27226,14.591,8.495,16.009,9.763,8.317,0.128927,0.287147,0.028944,3.482533,0.121175,-1.2429,4.8705,1.9539,5.393,-0.214022,-5.823827,-0.041152,-1.119795,0.17287,4.704033
P_1904,1599.0737,870.87455,9.795,6.097,12.015,8.193,7.179,0.102935,0.32676,0.016213,3.060346,0.134467,-0.1133,0.0126,-0.097,0.1497,-0.200731,-5.462169,0.003044,0.08284,0.203775,5.545009
P_1905,1723.93413,922.76825,10.572,6.486,12.75,8.273,7.26,0.131887,0.294506,0.029531,3.395513,0.112918,1.2489,-0.8983,-1.3873,2.0715,-0.22228,-6.048548,-0.048379,-1.316453,0.173901,4.732095
P_1906,1679.79096,904.40096,9.977,6.189,12.08,8.661,7.179,0.109363,0.338775,0.017652,2.951816,0.11522,-0.4468,-0.2258,-0.1233,0.5156,-0.219978,-5.985912,0.003699,0.100644,0.223677,6.086556
P_1907,1943.38726,1057.33585,13.262,7.831,15.571,9.311,6.68,0.1246,0.297875,0.02606,3.357118,0.122965,-2.48,-0.5879,2.3404,3.4602,-0.212232,-5.77513,-0.03741,-1.017985,0.174822,4.757145
P_1908,1782.34818,972.09689,10.362,6.676,13.06,9.751,6.332,0.131541,0.325927,0.026544,3.068173,0.097963,-3.3983,-0.2622,1.2668,3.6362,-0.237234,-6.455471,-0.025543,-0.695055,0.211691,5.760416
P_1909,2267.25923,1211.18679,14.808,8.604,17.127,9.484,6.62,0.130362,0.305859,0.027781,3.26948,0.107591,-1.0604,0.9254,-1.7171,2.2202,-0.227607,-6.1935,-0.038421,-1.045485,0.189186,5.148015
P_1910,2087.24286,1112.2815,11.686,7.203,14.171,10.192,7.088,0.127559,0.289437,0.028108,3.454977,0.120346,-4.1116,-0.6285,2.3381,4.7714,-0.214851,-5.846395,-0.040889,-1.112634,0.173963,4.733762
P_1911,1879.77306,1013.80135,11.753,7.077,13.735,9.929,6.559,0.135592,0.315075,0.029176,3.173844,0.099778,-0.7722,1.1069,1.5294,2.0397,-0.23542,-6.406107,-0.039017,-1.061717,0.196403,5.34439
P_1912,2052.48774,1057.1123,11.638,7.019,13.73,8.578,6.611,0.112272,0.33513,0.018806,2.983913,0.111893,-0.1729,0.0302,-0.0703,0.189,-0.223305,-6.076432,-0.000273,-0.007428,0.223032,6.069004
P_1913,2278.06881,1173.69657,11.8,7.1,13.678,10.214,7.841,0.135077,0.30737,0.02968,3.253412,0.1015,-1.4203,-1.1335,-0.9761,2.0627,-0.2337,-6.359287,-0.040947,-1.11423,0.192752,5.245057
P_1914,2421.78793,1286.15106,13.873,8.136,16.111,11.588,7.267,0.131936,0.302599,0.028763,3.304708,0.100727,-1.5184,-0.5688,0.9869,1.8982,-0.234471,-6.380292,-0.039517,-1.075322,0.194954,5.30497
P_1915,2546.01615,1304.1356,12.198,7.299,14.41,11.374,8.361,0.130101,0.303476,0.027887,3.295157,0.104055,-2.0508,-0.8013,-1.1792,2.4976,-0.231143,-6.289728,-0.036012,-0.979941,0.195131,5.309787
P_1916,1916.86685,1013.69525,11.254,6.827,13.291,8.605,7.401,0.135395,0.316657,0.028946,3.157993,0.098631,-1.7284,0.6289,1.1459,2.167,-0.236567,-6.437319,-0.038316,-1.042625,0.198251,5.394694
P_1917,2817.76794,1419.98103,12.918,7.659,14.912,10.339,9.141,0.125434,0.332278,0.023676,3.009532,0.09981,-0.1837,3.7225,2.4451,4.4575,-0.235387,-6.405208,-0.015037,-0.409181,0.22035,5.996028
P_1918,2180.8095,1167.66762,12.106,7.253,14.003,10.049,8.147,0.095268,0.314118,0.014447,3.183513,0.136483,-0.6871,1.831,1.0927,2.2403,-0.198715,-5.407301,0.004685,0.127487,0.2034,5.534788
P_1919,1634.80617,893.95736,8.869,5.77,11.157,8.508,7.309,0.130138,0.338818,0.024993,2.951436,0.09684,1.9672,2.0627,0.183,2.8562,-0.238358,-6.486046,-0.022488,-0.61192,0.21587,5.874127
P_1920,1688.10671,913.14127,10.319,6.494,12.438,8.578,6.928,0.136939,0.33776,0.02776,2.960681,0.092676,-1.5792,0.4057,1.3424,2.112,-0.242522,-6.599371,-0.030526,-0.830657,0.211996,5.768715
P_1921,1601.69518,865.62988,9.574,6.262,12.369,8.541,6.607,0.127755,0.337604,0.024172,2.96205,0.097841,-1.6587,-1.2362,-0.1627,2.075,-0.237358,-6.458831,-0.016368,-0.445391,0.22099,6.01344
P_1922,1609.92848,874.19664,10.051,6.226,12.197,8.785,6.578,0.112653,0.338041,0.018771,2.958225,0.113071,0.6044,-0.6862,-1.0801,1.4152,-0.222127,-6.044373,-0.001334,-0.036293,0.220793,6.00808
P_1923,1671.7801,906.88551,11.101,6.75,13.364,8.792,6.495,0.106535,0.326557,0.017378,3.062248,0.127806,0.057,0.0946,-0.3132,0.3321,-0.207392,-5.643414,-0.000806,-0.021924,0.206586,5.62149
P_1924,1835.82833,986.7508,11.95,7.175,13.898,8.457,6.907,0.114227,0.31702,0.020579,3.154371,0.121169,-3.6057,2.9942,0.9329,4.7787,-0.214028,-5.824006,-0.009862,-0.268363,0.204166,5.555643
P_1925,2411.78631,1259.45137,13.397,7.898,15.134,9.93,7.982,0.12071,0.322573,0.022585,3.100077,0.109242,0.8398,-0.1576,-1.2895,1.5469,-0.225956,-6.148572,-0.013562,-0.369044,0.212394,5.779529
P_1926,1610.04704,873.88686,8.999,5.7,11.074,8.417,7.215,0.121482,0.341659,0.021597,2.926896,0.103078,0.1306,-2.0379,0.1321,2.0463,-0.232119,-6.316288,-0.009111,-0.24793,0.223008,6.068358
P_1927,1934.56638,1046.87688,13.436,7.918,15.577,9.33,7.608,0.129965,0.320413,0.026358,3.120976,0.102969,0.2988,1.4741,0.6804,1.6508,-0.232228,-6.319255,-0.034019,-0.925702,0.198209,5.393553
P_1928,1737.50843,928.76225,10.046,6.223,12.139,8.426,7.19,0.116693,0.338434,0.020118,2.954784,0.108901,-0.8758,-1.9658,0.5523,2.2218,-0.226297,-6.157847,-0.004221,-0.114865,0.222076,6.042982
P_1929,1814.12032,960.71894,10.827,6.614,13.007,8.646,7.158,0.124013,0.295422,0.026029,3.38499,0.123363,-0.3914,-1.5889,0.7771,1.8115,-0.211835,-5.764323,-0.037469,-1.019577,0.174366,4.744746
P_1930,1478.47372,807.66841,9.067,5.868,11.605,8.4,6.619,0.137405,0.339064,0.027842,2.949298,0.08949,2.311,0.0027,1.7409,2.8933,-0.245708,-6.686053,-0.032948,-0.89657,0.21276,5.789484
P_1931,1719.89892,925.38076,10.188,6.294,12.397,8.633,7.149,0.109653,0.319285,0.018829,3.132002,0.129924,-0.6481,-2.6132,-0.5705,2.7522,-0.205273,-5.585763,-0.005975,-0.162586,0.199298,5.423177
P_1932,1777.8963,971.49626,10.25,6.46,12.785,10.121,7.333,0.149213,0.332486,0.033482,3.00765,0.079032,-5.89,-1.5831,-1.4889,6.2781,-0.256166,-6.970635,-0.047807,-1.300902,0.208359,5.669733
P_1933,1662.17109,914.87543,9.225,5.948,11.431,9.151,7.263,0.137912,0.33412,0.028463,2.992941,0.092174,1.9762,1.4884,1.1109,2.712,-0.243023,-6.612983,-0.037573,-1.022408,0.20545,5.590575
P_1934,1778.00171,938.39479,11.466,6.933,13.587,8.134,6.99,0.140885,0.299188,0.033171,3.342385,0.099709,-0.59,0.8822,-0.5364,1.1892,-0.235488,-6.407961,-0.053309,-1.450613,0.182179,4.957348
P_1935,2145.57082,1168.15815,12.855,7.762,15.222,10.49,7.434,0.142722,0.316412,0.032188,3.160438,0.09088,-0.8219,2.9375,1.7941,3.5388,-0.244318,-6.648228,-0.040273,-1.095884,0.204045,5.552345
P_1936,2058.05071,1119.25852,12.201,7.575,15.044,9.786,6.999,0.14434,0.310547,0.033544,3.220125,0.090178,0.0938,-1.4554,-1.0251,1.7826,-0.245019,-6.667319,-0.045354,-1.234144,0.199666,5.433175
P_1937,2064.48662,1121.99056,13.077,7.738,15.32,9.717,7.58,0.127691,0.310044,0.026295,3.225348,0.109571,-2.1666,-0.3509,1.7733,2.8217,-0.225627,-6.139613,-0.032487,-0.884005,0.19314,5.255608
P_1938,2445.75079,1292.89576,15.653,9.026,18.047,10.385,6.741,0.136777,0.309099,0.030262,3.235208,0.097327,-0.8254,-0.7474,1.4769,1.8496,-0.237871,-6.472789,-0.039921,-1.086295,0.19795,5.386494
P_1939,2129.19508,1152.6267,12.554,7.477,14.647,10.506,7.125,0.116963,0.309106,0.022129,3.235134,0.123044,-4.1851,0.3974,2.4142,4.8479,-0.212153,-5.77299,-0.019365,-0.526958,0.192788,5.246032
P_1940,2064.38437,1121.49885,13.723,8.062,16.121,9.486,7.535,0.128337,0.310132,0.026554,3.224435,0.109731,2.1142,-0.362,-2.1999,3.0725,-0.225467,-6.135278,-0.034045,-0.926419,0.191422,5.20886
P_1941,2064.11123,1107.79276,12.637,7.519,14.619,9.225,7.174,0.12569,0.325489,0.024268,3.072305,0.101757,-3.2535,4.3354,0.6327,5.4573,-0.233441,-6.35225,-0.021488,-0.584708,0.211953,5.767543
P_1942,2047.50866,1088.27096,12.895,7.648,15.24,9.806,6.322,0.119932,0.3008,0.023909,3.324464,0.117848,-0.007,0.5805,1.3388,1.4592,-0.21735,-5.914388,-0.021581,-0.587245,0.195769,5.327143
P_1943,1593.99931,857.48064,10.476,6.438,12.718,8.922,5.518,0.133723,0.304498,0.029363,3.284096,0.114225,-0.2554,2.5903,2.3903,3.5339,-0.220971,-6.012924,-0.044526,-1.211603,0.176445,4.801322
P_1944,1673.99612,909.01201,10.409,6.404,12.627,9.226,6.073,0.139979,0.30272,0.032364,3.303387,0.108135,0.9025,0.1777,-0.4083,1.0064,-0.227062,-6.178672,-0.051104,-1.390615,0.175958,4.788057
P_1945,1464.28181,799.76332,8.577,5.664,10.939,9.304,5.603,0.145481,0.301754,0.03507,3.313962,0.103303,4.8258,-1.3815,-1.6746,5.2916,-0.231895,-6.310177,-0.056837,-1.546612,0.175058,4.763564
P_1946,1535.76878,826.88362,8.465,5.608,11.04,8.049,6.97,0.140963,0.30033,0.033081,3.329676,0.10784,-2.0866,-0.5278,0.3711,2.1841,-0.227357,-6.186702,-0.053014,-1.442596,0.174343,4.744106
P_1947,1264.59673,707.33476,7.54,5.145,10.188,9.41,5.49,0.131903,0.305069,0.028516,3.277951,0.116319,2.9942,-0.365,-2.4543,3.8887,-0.218879,-5.95599,-0.043369,-1.180137,0.175509,4.775853
P_1948,1582.00695,878.93477,11.361,6.881,13.606,7.355,6.726,0.135876,0.317192,0.029103,3.152668,0.101733,-1.7123,-2.7379,3.0991,4.4758,-0.233465,-6.352902,-0.035803,-0.974254,0.197662,5.378648
P_1949,1523.93448,835.01816,9.491,5.945,11.472,6.86,6.419,0.127227,0.367101,0.022047,2.724047,0.091602,2.5261,-3.0236,-1.2388,4.1301,-0.243595,-6.628561,-0.008889,-0.241887,0.234706,6.386674
P_1950,1275.12366,735.32993,9.477,5.938,11.482,6.827,5.815,0.12484,0.378202,0.020604,2.644093,0.091115,-2.2077,-3.295,0.7938,4.0449,-0.244083,-6.641826,-0.008163,-0.222116,0.23592,6.41971
P_1951,1348.99214,775.99645,9.242,5.981,12.073,6.801,6.407,0.141984,0.366848,0.027477,2.725927,0.076792,1.539,4.8098,-0.7497,5.1053,-0.258407,-7.031614,-0.029462,-0.801713,0.228945,6.229901
P_1952,1551.93711,827.36443,8.602,5.501,10.635,8.949,7.063,0.126708,0.352946,0.022744,2.833294,0.093434,-1.2814,-2.2104,-2.6191,3.6589,-0.241764,-6.578738,-0.010508,-0.285926,0.231257,6.292811
P_1953,1182.81441,661.40553,7.195,4.798,9.402,7.496,5.735,0.131679,0.37729,0.022979,2.650482,0.087471,-1.5041,2.584,2.5752,3.9461,-0.247727,-6.740999,-0.011779,-0.320528,0.235948,6.420471
P_1954,1552.32666,855.26415,9.202,5.801,10.927,9.393,6.787,0.133669,0.33776,0.02645,2.96068,0.093826,-2.4676,2.4466,2.2896,4.1614,-0.24137,-6.568001,-0.023924,-0.651005,0.217446,5.916996
P_1955,1412.02192,795.85765,10.513,6.457,12.545,6.908,5.745,0.131831,0.320545,0.027109,3.119684,0.106629,-1.7324,-1.2364,2.011,2.9281,-0.228568,-6.219652,-0.032798,-0.89247,0.19577,5.327181
P_1956,2468.15591,1246.40308,10.071,6.411,11.843,11.072,8.891,0.142322,0.27697,0.036566,3.610504,0.108191,-3.4906,-2.919,6.4955,7.9307,-0.227006,-6.177155,-0.053874,-1.465975,0.173133,4.71118
P_1957,1795.83523,959.17658,11.033,6.717,13.229,9.215,6.718,0.144792,0.277108,0.037828,3.608705,0.108462,-0.3471,1.5018,2.7276,3.133,-0.226736,-6.169796,-0.061942,-1.68553,0.164794,4.484267
P_1958,1800.15634,980.77897,12.872,7.811,15.517,8.12,6.41,0.146229,0.275281,0.038838,3.632655,0.107296,-3.4873,-0.8064,2.4943,4.3627,-0.227903,-6.201548,-0.064439,-1.753475,0.163464,4.448073
P_1959,1714.45376,950.89431,12.605,7.502,14.89,8.349,6.182,0.143214,0.283555,0.036166,3.526651,0.108092,2.0563,3.8032,2.1186,4.8147,-0.227104,-6.179822,-0.058484,-1.591439,0.16862,4.588383
P_1960,1603.07427,883.24595,11.137,6.769,13.487,7.513,6.146,0.127614,0.301442,0.027012,3.317393,0.116883,2.5856,2.697,2.1834,4.3274,-0.218315,-5.940655,-0.034786,-0.946566,0.183529,4.994089
P_1961,1535.94162,843.23781,8.594,5.497,10.723,8.907,7.535,0.132654,0.303754,0.028966,3.292141,0.115143,-0.1298,2.5048,2.8857,3.8233,-0.220055,-5.987994,-0.044043,-1.198466,0.176012,4.789528
P_1962,2626.24477,1406.86975,13.454,7.927,15.445,11.654,7.158,0.116784,0.319947,0.021314,3.125521,0.119481,1.8276,-1.1631,-0.0275,2.1665,-0.215714,-5.869873,-0.004413,-0.120071,0.211301,5.749802
P_1963,2456.84454,1332.53465,13.721,8.06,15.778,12.139,6.522,0.10543,0.341793,0.01626,2.925752,0.125874,3.7534,-0.0263,-2.6647,4.6032,-0.209324,-5.695986,0.010169,0.276723,0.219493,5.972709
P_1964,3212.62055,1680.81354,17.357,9.878,19.537,12.879,10.649,0.117423,0.282435,0.024409,3.540642,0.121404,1.1953,2.9032,1.1279,3.3361,-0.213792,-5.817563,-0.02775,-0.75512,0.186041,5.062443
P_1965,2295.23297,1283.33187,16.019,9.209,18.393,10.723,7.245,0.117434,0.332718,0.020724,3.005545,0.11611,0.0351,-0.495,-1.3914,1.4772,-0.21908,-5.961482,0.002395,0.065168,0.221475,6.026651
P_1966,2495.18772,1376.52656,16.13,9.265,18.506,13.422,7.006,0.114511,0.317914,0.020623,3.145503,0.118189,0.1205,1.7209,-2.6574,3.1682,-0.217001,-5.904887,-0.003015,-0.082048,0.213985,5.822839
P_1967,2753.88319,1435.81831,15.945,9.173,18.195,9.98,7.132,0.117585,0.320151,0.021593,3.123524,0.116235,1.2601,2.1753,-2.0462,3.2414,-0.218961,-5.958222,-0.003654,-0.099434,0.215307,5.858788
P_1968,1761.23614,991.04488,11.888,7.144,13.649,9.186,7.398,0.126563,0.358328,0.022351,2.79074,0.08652,2.1331,0.6521,1.8614,2.9052,-0.248679,-6.766912,-0.008121,-0.220988,0.240558,6.545925
P_1969,2279.11197,1253.01892,14.264,8.332,15.671,11.69,6.32,0.122944,0.352741,0.021425,2.834945,0.093162,-1.6957,-0.79,-4.317,4.7049,-0.242036,-6.586122,-0.000464,-0.012622,0.241572,6.5735
P_1970,2426.75497,1238.69357,13.38,7.89,15.699,9.456,6.763,0.119394,0.338335,0.021066,2.955653,0.099462,1.5341,-0.3193,-0.718,1.7236,-0.235734,-6.41466,-0.00065,-0.017693,0.235084,6.396967
P_1971,2568.72655,1371.26164,12.693,7.546,14.195,11.792,8.102,0.121969,0.361008,0.020604,2.770019,0.091121,-2.4933,-0.2398,3.3261,4.1637,-0.244065,-6.641344,-0.00219,-0.059606,0.241874,6.581738
P_1972,2147.00928,1175.46279,13.877,8.138,16.072,9.865,6.809,0.127144,0.365942,0.022088,2.732675,0.088057,1.6979,1.1634,-1.4884,2.54,-0.247134,-6.724855,-0.003234,-0.087997,0.2439,6.636857
P_1973,3091.86858,1558.29667,13.52,7.96,15.849,12.479,7.666,0.121678,0.345359,0.021435,2.895542,0.092389,3.5889,-1.6389,-2.4102,4.6234,-0.242808,-6.607151,-0.001894,-0.051528,0.240915,6.555623
P_1974,3013.97063,1475.82575,14.131,8.266,15.847,9.583,8.009,0.124316,0.321613,0.024026,3.109332,0.101946,3.2671,4.2983,-0.8773,5.4699,-0.233252,-6.347113,-0.020812,-0.566333,0.21244,5.780779
P_1975,2350.15607,1287.85588,12.664,7.532,14.957,12.257,8.378,0.124204,0.352054,0.021909,2.840477,0.092371,1.6703,2.8936,-2.6249,4.2488,-0.242828,-6.607696,-0.007475,-0.203398,0.235354,6.404298
P_1976,2473.20116,1271.36199,12.704,7.552,14.902,9.358,7.339,0.120388,0.350692,0.020664,2.851508,0.093996,0.8889,-1.5008,1.0852,2.0543,-0.241201,-6.563416,-0.001022,-0.027807,0.240179,6.535609
P_1977,2146.51092,1199.18431,11.232,6.816,12.954,12.539,7.886,0.128166,0.354712,0.023155,2.819187,0.089467,-3.4052,-3.0974,-1.9199,4.9875,-0.245733,-6.68673,-0.004959,-0.134935,0.240774,6.551794
P_1978,3237.68103,1708.40194,19.806,11.103,22.171,9.887,8.629,0.158464,0.276152,0.045465,3.621197,0.09138,4.8698,-1.4147,2.4087,5.6141,-0.243815,-6.63454,-0.086726,-2.359932,0.157089,4.274608
P_1979,2734.14479,1453.18717,17.661,10.031,19.981,9.802,7.756,0.130141,0.306694,0.027612,3.260581,0.102493,2.0114,0.7708,-1.5563,2.6574,-0.232699,-6.332067,-0.032304,-0.879037,0.200395,5.45303
P_1980,2241.09051,1138.58337,11.296,6.983,13.741,9.453,7.601,0.132971,0.358825,0.024638,2.786877,0.083705,1.4481,-1.9866,-4.8979,5.4803,-0.251486,-6.843279,-0.011764,-0.32011,0.239722,6.523169
P_1981,2308.383,1248.43341,12.072,7.236,14.046,9.323,9.434,0.13047,0.357696,0.023795,2.79567,0.083583,-0.1043,3.9601,0.4535,3.9873,-0.251614,-6.84677,-0.012786,-0.347915,0.238829,6.498855
P_1982,2273.72571,1250.19088,13.293,7.846,15.762,9.271,8.521,0.127804,0.356656,0.022898,2.803819,0.089406,-0.2221,1.994,-1.9849,2.8222,-0.245788,-6.688225,-0.003864,-0.105139,0.241924,6.583087
P_1983,2605.58576,1412.33928,13.092,7.746,14.781,14.658,7.299,0.120147,0.350591,0.020587,2.852323,0.089582,0.0286,0.8327,0.3749,0.9137,-0.245616,-6.683548,-0.005699,-0.155075,0.239917,6.528473
P_1984,2491.2164,1394.29369,15.584,8.992,17.962,13.715,7.002,0.116788,0.355069,0.019207,2.816357,0.090342,-1.2799,1.6889,-3.1124,3.7653,-0.24485,-6.662698,-0.001123,-0.030547,0.243727,6.632151
P_1985,2665.28057,1415.91038,16.332,9.366,18.254,10.22,6.597,0.124314,0.330735,0.023363,3.023565,0.09314,-1.3339,0.4463,-1.3206,1.9294,-0.242053,-6.586584,-0.011148,-0.303353,0.230904,6.283231
P_1986,2277.56101,1245.97264,11.871,7.136,13.889,10.346,7.941,0.12763,0.357649,0.022773,2.796038,0.085601,-1.4098,2.774,-1.4684,3.4408,-0.249596,-6.791864,-0.007885,-0.214556,0.241712,6.577308
P_1987,1812.61847,1013.19215,13.356,7.878,15.675,7.544,7.651,0.148847,0.327899,0.033784,3.049723,0.075772,-0.6818,-0.8924,-2.435,2.6815,-0.259426,-7.059346,-0.048001,-1.306183,0.211425,5.753163
P_1988,1938.30708,1020.83704,9.253,5.826,10.813,10.349,7.151,0.143465,0.31939,0.032221,3.130973,0.093962,1.4963,2.5765,-1.1038,3.1774,-0.241235,-6.564326,-0.048829,-1.328701,0.192406,5.235624
P_1989,2071.15627,1154.29285,15.297,8.848,17.474,7.606,7.021,0.142858,0.320296,0.031859,3.122111,0.085411,0.8784,3.9315,-0.1198,4.0303,-0.249786,-6.797034,-0.044509,-1.21115,0.205277,5.585884
P_1990,2321.26952,1180.10012,9.877,6.139,12.061,11.05,7.496,0.144995,0.315283,0.033341,3.171756,0.092155,1.4031,-2.7551,-1.037,3.261,-0.243042,-6.613506,-0.051083,-1.390041,0.191959,5.223465
P_1991,2062.13081,1077.28233,11.858,7.129,14.55,7.936,7.983,0.148274,0.323067,0.034026,3.095332,0.078523,1.5073,4.5192,-0.4478,4.785,-0.256675,-6.984474,-0.040267,-1.095711,0.216408,5.888763
P_1992,2353.63672,1156.66981,11.367,6.884,13.576,9.942,7.632,0.143976,0.296164,0.034996,3.376506,0.098293,-4.5281,-2.0136,-1.494,5.176,-0.236905,-6.446507,-0.046857,-1.275046,0.190048,5.171462
P_1993,1839.07916,977.66977,10.496,6.623,12.423,9.723,6.518,0.152695,0.321092,0.036307,3.11437,0.084134,-4.5333,2.5508,-1.1163,5.3201,-0.25106,-6.831693,-0.056068,-1.525688,0.194992,5.306005
P_1994,1929.91672,1019.10121,10.475,6.612,11.668,10.61,6.407,0.152978,0.317394,0.036866,3.150658,0.083558,-4.1299,2.779,-1.1737,5.1143,-0.25164,-6.84748,-0.057316,-1.55964,0.194325,5.28784
P_1995,1968.57177,1030.54562,9.077,5.738,11.284,11.121,7.285,0.147464,0.315582,0.034453,3.168747,0.090884,-0.8132,-1.6049,-1.4162,2.2897,-0.244315,-6.648142,-0.052421,-1.426449,0.191894,5.221693
P_1996,2007.9978,1102.6148,11.504,6.952,13.803,9.675,7.466,0.132822,0.314904,0.028011,3.175572,0.109385,2.4481,-3.3697,-1.9849,4.6139,-0.22581,-6.144612,-0.038349,-1.043517,0.187462,5.101096
P_1997,2551.68369,1293.48891,13.378,7.889,15.694,9.849,8.025,0.154514,0.294849,0.040486,3.391567,0.08517,-4.9985,-0.8357,-1.0756,5.1808,-0.250027,-6.803579,-0.062317,-1.695728,0.18771,5.107852
P_1998,2418.1034,1321.6719,14.68,8.54,17.171,10.994,7.565,0.148077,0.293676,0.037331,3.405117,0.093018,-2.2568,5.1125,-0.8112,5.647,-0.242179,-6.590024,-0.051675,-1.406151,0.190504,5.183872
P_1999,2023.43324,1125.95223,14.425,8.548,17.085,7.651,6.361,0.159124,0.322726,0.039229,3.098606,0.075772,-2.6353,4.0131,0.2896,4.8098,-0.259423,-7.059248,-0.051072,-1.389736,0.208351,5.669512
P_2000,1946.23948,1084.10247,10.591,6.496,12.252,8.524,7.573,0.146103,0.331817,0.032166,3.01371,0.079044,-2.7032,6.1607,-2.1826,7.0728,-0.256154,-6.9703,-0.040056,-1.089983,0.216098,5.880316
P_2001,1838.24823,979.56268,10.507,6.629,12.638,9.413,6.324,0.153052,0.322098,0.036363,3.104643,0.082733,-4.1262,2.8192,-2.2745,5.4906,-0.252462,-6.869829,-0.056677,-1.542251,0.195785,5.327578
P_2002,1931.65047,1074.81166,13.342,7.871,15.962,7.99,6.36,0.15019,0.318982,0.035358,3.134977,0.077089,-0.7354,2.695,-0.627,2.8631,-0.258106,-7.023426,-0.048656,-1.323984,0.209451,5.699441
P_2003,1979.7145,1068.77997,11.057,6.729,13.199,8.727,7.475,0.148016,0.328664,0.03333,3.042619,0.085778,-2.6668,0.486,-1.1867,2.9591,-0.249421,-6.787086,-0.043224,-1.176195,0.206196,5.610891
P_2004,2832.75864,1443.09431,13.008,7.704,15.284,10.979,7.386,0.140815,0.319231,0.031057,3.132532,0.093902,1.9421,0.4682,-0.8991,2.1907,-0.241295,-6.56597,-0.04462,-1.214164,0.196675,5.351806
P_2005,1840.23146,1031.02911,13.262,7.831,15.458,8.411,6.741,0.149401,0.326785,0.034152,3.060115,0.076725,-0.7491,-2.6749,-0.1226,2.7805,-0.25847,-7.033315,-0.043444,-1.182172,0.215026,5.851143
P_2006,1929.69633,1069.10548,13.193,7.797,15.394,8.357,6.586,0.150157,0.32374,0.034823,3.088898,0.075931,-0.377,-0.8107,-0.0847,0.8981,-0.259265,-7.054964,-0.043379,-1.180403,0.215886,5.874562
P_2007,1964.03128,1069.19719,13.303,7.852,15.202,8.677,7.302,0.149194,0.318929,0.034896,3.135497,0.081601,-0.8814,1.3431,-2.7615,3.1947,-0.253598,-6.900764,-0.048403,-1.317114,0.205195,5.58365
P_2008,1932.82549,1046.65088,13.349,7.874,15.685,7.777,6.683,0.144079,0.321609,0.032273,3.109367,0.085485,-0.1155,-3.3847,-0.7405,3.4667,-0.249713,-6.795029,-0.046146,-1.25569,0.203567,5.53934
P_2009,2185.16351,1165.06194,14.226,8.313,16.552,8.919,7.376,0.140371,0.312598,0.031517,3.198998,0.096703,-0.7883,0.6923,-2.3249,2.5507,-0.238494,-6.489756,-0.048092,-1.308652,0.190402,5.181104
